이름,견종,세부견종,색상,출생연도,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소
쥬피,푸들,푸들,Brown,2021.10,7.16,https://cafethumb.pstatic.net/MjAyMzEwMTRfMTcg/MDAxNjk3MjUwMjYwODA1.cGASMCtAq9Tc_Dr5PFsJoTknSE_G0eikHJbFdxIynX8g.xh8QR4tY1GSGHn5q8L9lvia9zZ_4KkUJ2Tf_G5ghCM8g.JPEG/P1010001.JPG?type=f200_200,Y,F,U,착하고 순한 작은 곱슬 강아지 쥬피예요!  장난감을 무척 좋아하는데 장난감 바구니에서 뾱뾱 소리가 나는 폭신 인형만  골라서 신나게 논답니다~ :)  개구리 자세로 뾱뾱~ 고개를 흔들며 신이난 모습을 보면 빙그레 미소가 지어져요.  사람과 친화적이며 순한 친구라서 처음 반려견을 맞이하거나 영유아 이상의 자녀가 있는 가정 등 적합합니다.  다른 강아지들과 서먹 서먹~ 하지만 크게 문제없이 잘 지내고 있습니다.  패드배변 훈련중이며 기본 지시어 훈련도 열심히 받고 있어요!!^^  반짝 반짝!  작은 눈으로 하염없이 바라보면 폭 안고 어둥어둥~  실물이 훨씬 더 예쁜데 사진으로 다 담지 못한게 너무 아쉬워요!  어린 강아지답게 활력도 넘치고 이곳 저곳 쇼파며 의자며 잘 뛰기도 합니다.  소형견 특성상 무릎관절이 약해지기 쉬워요!   슬개골 탈구를 예방하기 위해 미끄럼 방지 매트를 깔아주시면 좋겠습니다.  살짝 편식이 있고 개구진 모습도 보여요 :)  사람과 교감 능력이 뛰어나고 의지도 많이 하는 견종 특성상 분리불안 증상이 나타날 수 있습니다.   사랑스러운 갈색 구름 강아지 쥬피의 평생가족을 기다립니다.,서울특별시 마포구
여름,말티즈,말티즈,Unknown,2019.10,7.16,https://cafethumb.pstatic.net/MjAyMzEwMDdfMzgg/MDAxNjk2NjYzNjYzOTAx.DJccZcxAUNvcx7r46FagrUEuBWSV1cHQObRJ2EpmuPgg.0wdITfZmI6tG2h42ZZDZpoQXajUc8D1blOajX4E8dLkg.JPEG/1695944498514.jpg?type=f200_200,Y,F,Y,얌전하고 차분한 성향의 여름이입니다.  여름이는 패드에 100% 배변하는 똑순이입니다.  개에게 크게 관심이 없으나 싫어하진 않아요.  그래도 도도한 친구라 너무 들이대는 친구에겐 살짝 경고성 으르렁을 보이기도 하구요  사람을 너무 좋아해서 질투하는 모습을 보이기도 해요.  무척 친근한 아이라 사람에게 먼저 다가오는 성격이에요.  안아달라며 짦은 몸으로 앞발을 번쩍 들어올리는 여름이.  가끔 애정결핍처럼 사랑을 갈구하는 모습을 보이기도 해서 짠한 마음이 듭니다. (가정에서 기르다 버려진 것으로 추정.)  사람에게 안겨있는 것을 제일 좋아하고 요구성 짖음이 있습니다.  산책보다는 보호자와 오랜 시간 얌전히 보내는 시간을 좋아하며  눈물을 많이 흘려 눈물 자국을 자주 지워줘야 합니다.  하루 중 여름이에게 시간을 많이 할애해줄 수 있는 보호자님이 필요합니다.  여름이는 외로움을 많이 타는 아이라 시끌벅적한 다인 가정에 적합합니다.  사람친화적인 성격이라 강아지를 처음 키워보시는 분들에게도 적합하나  질투를 하는 아이라 다견 가정에는 조금 적합하지 않을 것 같아요.  사랑스런 여름이의 평생가족을 기다립니다.,서울특별시 동대문구
봄이,포메라니안,포메라니안,Unknown,2018.10,7.16,https://cafethumb.pstatic.net/MjAyMzEwMDdfMjM4/MDAxNjk2NjYzMjQ1OTA0.UUwQKjdapTd8A1NcKVnZ281uUOlkLLAOEFivT89U7ukg.5vYV9WF4yVnKAv8QfUr71NFwOUyifNCHIJayPdOkyosg.JPEG/0main.jpg?type=f200_200,Y,M,Y,"친구들에게 인기가 최고로 많은 봄이입니다.  사료를 먹고 싶은 만큼 자율조절해서 먹는 영리한 아이에요.  그리고 사람을 엄~청 좋아하는 애교만점 친구랍니다.  가끔 자기 주장을 보이며 놀아달라고 살짝 물기도 하지만 입질은 아니고요  ""자기 이빨에 다칠까봐 의사소통만 가능하게끔 살살 앙하고 물었다 놓곤 해요.""  ""워낙 작은 아이라 짖을 때도 앙앙 소리를 내는 무척 사랑스러운 봄이에요.""  친화력이 좋아서 모든 강아지 친구들과도 잘 놀고  자기 공간을 깨끗하게 사용하는 깔끔한 성격을 지녔어요.  배변훈련이 잘 되어있어 패드 또는 야외배변을 하구요  산책 할 때 바람이 불면 털이 민들레 홀씨처럼 흩날리는 봄이만의 시그니처도 있어요^^  케이지 안에 오래 있는 것은 힘들어하나 크게 반항없이 잘 받아들이는 편이에요.  먼저 다가와주는 친화력과 사회성을 고루고루 갖춘 봄이.  봄이는 순한 친구라 미취학 아동과 같이 자라기에도 좋구요  동물을 처음 키워보는 가정이나 강아지를 많이 키우는 가정 등  어느 환경에나 적합한 매력만점 친구랍니다.  사랑스런 봄이의 평생가족을 기다립니다.",서울특별시 동대문구
겨울,믹스,믹스,Unknown,2023.04,7.16,https://cafethumb.pstatic.net/MjAyMzEwMDdfMTc0/MDAxNjk2NjY0MDkwODQ3.OOnL6-Jvsa62AAOPnDlIAu3gieBzFMCOROKDTAoV1uwg.NdJDLvVEjTlz0vQFteUxPWsNG7duFUsV7f0T1AA9E74g.JPEG/KakaoTalk_20231005_102120398.jpg?type=f200_200,Y,F,Y,친구와 장난감 둘 다 포기할 수 없는 동대문 센터 강아지반의 막내 겨울이입니다.  겨울이는 활발하고 호기심이 많으며 앞발도 잘 사용하는 영리한 아이에요.  한참 성장기라 쑥쑥 자라고 있는 어린이 겨울이.  이빨이 새로 나고자랄 시기라 물고 뜯고 맛보고 즐길 수 있는 장난감을 무척 좋아해요.  특히 소리나는 장난감이나 공모양 장난감도 좋아해서 공놀이에도 무척 적극적입니다.  한참 성장기라 식욕이 왕성하여 사료를 주면 순식간에 사라지는 마법을 볼 수 있어요.  평소에는 발랄하고 친구들과도 장난치며 잘 노는 겨울이지만  아직은 사람 손길을 낯설게 느끼는 편이라 먼저 다가오는 성격은 아니에요.  특히 낯선 손길이나 보호장에서 꺼내려 할 땐 안쪽으로 피하거나 납작 엎드리는 모습을 보입니다.  그럼에도 불구하고 겨울이는 사람과 가까워지려고 노력하는 기특한 친구에요.  친해지는 데에 시간이 조금 걸릴 뿐 막상 만져주면 꼬리를 방방 돌리면서 좋아하는 모습을 보여줍니다.   아주 어릴 때부터 좁은 장 안에서 생활해서인지 센터에 처음 왔을 때는 식분증세가 심했어요.  지금은 다행히 (실외 배변과 대소변이 보이는 즉시 치워주는 등) 센터 선생님들의 꾸준한 관리와 훈련으로 증세는 많이 나아졌지만  가정에서도 지속적인 배변훈련 관리가 필요한 아이입니다.  겨울이는 유순한 아이라 어느 가정에도 잘 어울리며  특히 겨울이의 에너지를 충분히 케어해주실 수 있는 보호자님이나  혼자가 아닌 같이 놀 수 있는 강아지 친구가 있는 가정에 적합합니다.  사랑스런 겨울이의 평생가족을 기다립니다.,서울특별시 동대문구
정국,믹스,"비숑프리제, 푸들",White,2021.10,7.16,https://cafethumb.pstatic.net/MjAyMzEwMDZfMTU0/MDAxNjk2NTc2NzcxMjQ0.ay2f0RgOT2FQSSJ_lMEVyoeuV6v2X3ILpBgMIttOFZEg.EJQjAgUt7CfGIPcx0WEz_BUKChkHTdaVOexT9Np_cJ0g.JPEG/P1010079.JPG?type=f200_200,Y,M,U,천진난만 개구장이 흰둥이 강아지 정국이예요~~~  어린 나이답게 아주 활발하고 잠시도 가만히 있지 않는 폭발적인 에너자이저랍니다 ^^  장난감을 매우 좋아하고 저지레로 혼나도 금새 잊고 또 방실 방실 웃는 백치미도 있어요 ㅎㅎ  푸들과 비숑의 믹스로 추정되는 정국이는 모량도 풍부합니다 ~  다른 강아지들에게 마운팅하다가 혼나기도 하고 수컷이다 보니 마킹도 있습니다. (싫다는 시그널을 읽지 못합니다. 어릴때 다른 강아지들과의 사회성이 덜 형성 된 듯 보여요)  패드 배변 훈련중이며 기본 지시어는 어느정도 잘 해요~  외동으로 자란듯 장난감 욕심도 많아서 한곳에 모아놓고 다 갖고 싶어해 귀여워요!  순하고 착하지만 기본적으로 흥분도가 높고 활발하여 입양후 꾸준히 여러 훈련을 해주세요.  처음 반려견을 맞이하거나 영유아 이상의 자녀를 가진 가정이 적합해요. (외동으로 입양가는 것이 적합합니다.)  털빠짐이 적지만 곱슬거리는 털을 매일 빗질하고 미용하지 않으면 피부병을 유발하기 쉽습니다.  실외활동으로 정국이의 에너지를 풀어주실 수 있는 가족이 제일 좋습니다. 우다다다다가 기본 옵션입니다 ~~ㅎㅎ  애교 많고 사랑스런 흰둥이 정국의 평생가족을 기다립니다.,서울특별시 마포구
제크,비숑프리제,비숑프리제,Unknown,2020.10,7.16,https://cafethumb.pstatic.net/MjAyMzEwMDZfMTM0/MDAxNjk2NTcxMjU3MDk0.WSo5kuBD-2yJcSQCaUJG_DnkdXUnfxRrCwahMaTSdn8g.k1T0p8yvbjOwu0lB5z8Smz1I9dGLXe3mHa6IYq-mT4kg.JPEG/P1010184.JPG?type=f200_200,Y,M,U,,서울특별시 마포구
영차,치와와,치와와,Black,2018.09,7.16,https://cafethumb.pstatic.net/MjAyMzA5MTlfMjk3/MDAxNjk1MDkwNzI4ODA2.p1dlQG2N5ovWTuEvAQMTg2pPmxWXQImuuRbPVSX3yH4g.ohKNvXR4eHQ2jjzV0Wrf0UQFyfnli0fja-9lRZG7wQIg.JPEG/P1010260.JPG?type=f200_200,Y,M,U,애교도 최고~ 활발함도 최고~!  앙증 깜찍한 강아지 영차예요 ^^  장모치와와 영차는 구조당시 털이 매우 영양없이 매우 푸석푸석했어요  그래서인지 엄청 많이 털이 빠집니다(목욕과 빗질을 하면서 매우 많은 털이 빠졌어요.) (일반적으로 장모 치와와는 털이 덜 빠지지만 현재 영양피모상태 등 살펴봤을 때 많이 빠지고 있습니다. 참고해주세요) *털빠짐에 예민한 가정의 경우 신중하게 입양신청 부탁드립니다.  패드 배변 훈련을 하고 있지만 어느 정도 패드배변을 가리고 있어요.  조금 더 훈련을 하면 마스터 할 것 같습니다.  다른 강아지들과 크게 문제 없이 잘 지냅니다.  사람을 좋아하고 애교도 많고 장난감도 좋아하고~활발한 검은 콩입니다 ^^  구조당시 각막궤양이 있어서 치료하였어요.  워낙 순하고 착해서 처음 반려견을 맞이하거나 어린 자녀가 있는 가정   할아버지 할머니와 함께 사는 대가족 등 어느 가족과도 적합합니다.  낯선 사람과도 금새 친해지는 무릎강아지예요.  간식도 야곰 야곰 먹으며 기본 지시어도 잘 따르는 똑돌이!  작고 착한 깜장콩 영차의 평생 가족을 기다립니다.,서울특별시 마포구
영심,푸들,푸들,Brown,2018.09,7.16,https://cafethumb.pstatic.net/MjAyMzA5MDdfMTA5/MDAxNjk0MDgyNzI3MzUw.23Uk3e5ysKxXFgb93D2ytqig8skIWWwsujbKjtf5Wigg.16WrdHFOjBUdP8Kmx-78SCoFkOX1534i-9ktbAzcXssg.JPEG/P1010008.JPG?type=f200_200,Y,M,U,"""  동물등록이 된 채 집에서 멀리 떨어진 타지역 산에 유기된 영심이예요.  여름에 산에 유기되어 진드기에 많이 물린 채 시보호소로 입소 입양가족이 나타나지 않아  센터로 입소하게 되었습니다.  센터 입소후 등록된 칩정보를 통해 전화와 문자로 연락했지만 닿지 않았습니다. (현재 소유권은 센터로 이전되어 입양갈 때 새로운 가족에게 변경할 예정입니다.)  귀는 심하게 오염되어 있었고  온 몸에 진드기로 인해 크게 아프지 않을까 걱정했지만 다행히 피부병과 외이염 빼고는 문제될 것이 없었습니다.  여러번 목욕과 빗질을 통해 털에 감긴채 죽은 진드기 사체를 제거하고  부스럼이 일어난 피부를 치료하기 위해 약욕치료를 하고 있어요. (외이염은 거의 치료가 되었습니다.)  사람이 너무 좋아 두다리로 흔들흔들~ 걸어다니며 눈길을 받고자 애쓰는 아이예요.  사람과 교감을 잘하고 무릎강아지로 자란 듯 보입니다.  입양후 분리불안이 있을 수 있으며 서서 걸어다니는 행동을 자주 하기 때문에 슬개골 탈구 등  슬관절 건강이 좋지 않을 수도 있습니다.  입양후 적절한 관리가 요구됩니다.  패드배변도 잘하고 기본 지시어도 잘 수행합니다.  간식을 좋아하고 활발한 아이지만 유기된 상처가 컷는지 눈치를 많이 봅니다.  순해서 어린 자녀가 있는 가정 또는 처음 반려견을 맞이하는 가정 등 어느가정과도 적합합니다.  갈색 양말을 곱게 신고 반짝이는 눈동자를 지닌 깜찍한 영심!  다른 강아지들 중 소심한 친구들에게는 들이대며 활발히 대하지만 적극적으로 활발한 친구들에게는 소심하게 피하는 아이예요 :) (영심이와 비슷한 크기의 소심한(다른 강아지들에게 공격성 없는) 반려견이 있는 가정도 좋아요!)  깨방정의 애교가 으뜸인 사랑스러운 영심이의 평생 가족을 기다립니다.",서울특별시 마포구
세라,푸들,푸들,Unknown,2020.09,7.16,https://cafethumb.pstatic.net/MjAyMzA4MzFfOTYg/MDAxNjkzNDQ3MzMyMDA3.v3uY5i7H_5F7sPSaVWovmjF_PFuZ2U8aDTyswvJq3nYg.83Ql6j0AKfCh1YRlADiY6-vVt3lqn3z7RsEwdI4amJEg.JPEG/P1010002.JPG?type=f200_200,Y,F,U,사람을 매우 매우 좋아하는 작은 친구 세라예요~  우리 세라는 사람을 무척 좋아하지만  낯선 사람 또는 환경에는 사알짝 긴장하는 소심한 면도 보입니다^^  사람과 교감이 매우 뛰어난 푸들 견종 특성상 분리불안이 있을 수도 있어요. (분리불안은 애착으로 생기는 것이므로 기본적으로 훈련이 필요합니다.)  세라는 구조당시 중성화 수술과 지간염 피부병 그리고 눈물 자국이 매우 심했던 친구예요. (털이 잘 빠지지 않는다고 그냥 기르다보면 심하게 엉킨털로 인해 피부병이 걸립니다.  현재 피부병은 다 나았어요)  집에 오랫동안 혼자 남아있는 시간이 많지 않도록 여러 가족 구성원이 있는 가족 (1인 가구지만 함께 하는 시간이 많은 가족) 이 적합합니다.  기본 훈련이 전혀 되어 있지 않아 여러 훈련을 해 주시면 좋겠습니다.  배변 훈련및 산책 훈련 등.~  다른 강아지들과 문제 없이 대면 대면 지냅니다.   낯선 사람들에게도 순한 순둥이라서 어린 자녀가 있거나  할아버지 할머니의 대가족 등 어느가족과도 적합해요.  간식을 좋아하고 애교가 넘치는 포동 포동한 세라~ 흥분하면 뺑뺑도는 습관이 있어요 크게 문제될 사항은 아닙니다. ^^   미용할 때 너무 착하다고 침 마르게 칭찬 받았던 세라예요.  사랑스러운 세라의 평생가족을 기다립니다.,서울특별시 마포구
성공,포메라니안,포메라니안,White,2021.08,7.16,https://cafethumb.pstatic.net/MjAyMzA4MzFfMjM5/MDAxNjkzNDQ4NDY5MDA0.GFc6NICDp17VUjrSx3hZ1X7BwaCtqPWepzHAt51UUw8g.O9VldPcIXytoKiYzU_xqLjw80I_keaiiVQvtPDGONzUg.JPEG/P1010122.JPG?type=f200_200,Y,M,U,덩치만 큰 포메라니안 귀여운 겁쟁이 성공이예요~  사람은 좋아하지만  겁이 많아서 구석에서 나오지 않는 성공이~  간식을 좋아해서 간식 먹고자 조금씩 움직이는 성공이~  구조당시 길고 풍성한 털은 심하게 엉키고 오염되어 있었고  몇시간동안 엉킨 털을 빗질해서 푸는 동안 한번도 입질은 커녕 싫은 표정하지 않은 순둥이예요.  패드배변 훈련중이고 다른 강아지들과 크게 문제없어요~ (다른 강아지 친구들을 피해 구석에 숨어있어 외동 또는 소심한 강아지가 있는 가정이 적합해요)  워낙 순하고 착하기 때문에 어린 자녀가 있는 가정 또는 처음 반려견을 맞이하는 가정 등 적합합니다.  다만 워낙 털빠짐이 심한 견종이기 때문에 털에 예민한 가정이라면 입양전 심사숙고해주세요.  낯선 곳에서 긴장해서 쭈볏쭈볏!  천천히 적응할 시간을 주시면 누구보다 환하게 웃으며 반겨주는 강아지 친구를 만날 수 있어요.  방석을 좋아하고 장난감보다는 간식을 더 좋아하는 똥똥한 흰둥이 강아지.  포실포실 흰둥이 성공이의 평생가족을 기다립니다.,서울특별시 마포구
