Trait,Count
친화적,2744
온순,1880
겁O,1561
꼬리단미X,1069
꼬리단미O,852
피부질환,823
오염,820
활발,805
털상태미상,774
소심,648
입질O,480
칩O,462
귀접힘,412
경계,385
치석,378
슬개골이상,338
방어적,328
귀여움,295
상처,283
털상태불량,269
미용,265
애교,265
백내장,259
부정교합,242
건강,238
여윔,223
유선발달,212
낑낑댐,203
종합백신접종,203
짖음,194
광견병백신접종,188
탈모,176
대형견,147
진드기,146
털상태양호,145
결막염,136
친화적X,135
사나움,134
구충완료,132
소형견,128
긴장,126
이염,125
털빠짐O,118
비만,116
예쁨,114
신중,107
깨끗함,106
기력X,105
매력적,101
발톱관리필요,101
골절,94
파보바이러스O,90
홍역O,87
예민,86
조용,86
코로나장염접종,85
유기,84
칩U,83
구강질환,82
탈장,82
호기심,82
며느리발톱,82
출혈,81
잘생김,74
도망다님,72
사랑스러움,72
유치,71
심장사상충O,70
파보바이러스X,68
미모,68
심장사상충X,67
배변훈련중,59
심장질환,59
분리불안O,56
코로나장염O,55
기립불능,53
송곳니,53
건강불량,52
칩X,47
식탐,46
산책필요,46
관심필요,45
배변훈련O,45
염증,44
치료,43
똑똑,43
설사,43
수술,43
장난기,43
부종,42
심장사상충접종,41
종양,41
꼬리털,40
탈구,39
기침,37
귀쫑,36
관리,36
코로나장염X,35
강아지,34
마킹습관,33
발정,32
교통사고,32
꼬리짧음,32
꼬리단단함,31
백신,31
출산,30
짧은다리,30
홍역X,29
충성심,29
새끼,28
안기려함,28
잠복고환,28
마비,28
도깨비풀붙음,28
적응력,27
각질,25
안구궤양,24
예방접종,24
풍성한털,24
흉터,24
양후지,23
복부팽만,23
영양관리필요,23
샴푸향,23
콧물,23
영구치,23
온순함,21
앞니빠짐,21
긴다리,21
안위축,20
프론트라인,20
호흡문제,19
치아손상,18
혈뇨,18
꼬리끝털,18
자신감,18
쌍꺼풀,18
사마귀,18
후지파행,17
임신,17
각막혼탁,17
보호소,17
털빠짐X,16
충혈,16
셀렉션,15
파행,15
절뚝거림,15
이빨부족,15
꼬리말림,15
귀처짐,15
코팥,14
입질X,14
유치잔존,14
앉음,14
식욕부진,14
훈련,14
알러지,13
유실,13
체리아이,13
성장,13
외상,13
부상,13
앞니결핍,13
편식,13
남매,12
앞니,12
모성애,12
백신접종,12
통증호소,12
돌변,12
안충,11
저체온,11
빈혈,11
야윔,11
구더기,11
털짧음,11
긴털,11
떠돌이,11
중형견,11
타박상,10
틱증상,10
사망,10
보호,10
송곳니깨짐,10
관리요구,10
털관리,10
구토,10
절단,10
앞니없음,10
앞니부족,10
생리중,9
코진,9
다리,9
관리부족,9
검털,9
모낭충,9
훈련필요,9
보호본능,9
귀털,9
양송곳니,8
노견,8
흥분주의,8
침흘림,8
혀내밂,8
이빨없음,8
따뜻한,8
비틀거림,8
가려움증,8
길생활,8
습진,8
어미,7
자기주장,7
동복,7
예후불량,7
관절질환,7
활발X,7
보호중,7
꼬리털남김,7
아이라인,7
추위,7
항생제,7
붓기,7
새끼들,7
혈변,7
녹내장,7
접종,7
손재주,7
전지파행,7
스팟온,7
달래기,6
고집,6
치아문제,6
턱밑,6
마운팅,6
괴사,6
털이길다,6
목욕,6
뒷다리,6
배변훈련X,6
우전지,6
좌전지,6
백구,6
다침,6
발달,6
전산처리예정,6
귓병,6
탈수,6
농수로,6
비틀댐,6
유두,6
지키기,6
혀나옴,6
생명,6
분양가능,6
장애,6
송곳니이상,6
송곳니마모,6
아래앞니빠짐,6
콧등,6
깔끔함,6
잇몸질환,5
콧등까짐,5
혀내밀기,5
찹쌀떡,5
전산처리,5
털빛,5
윗앞니,5
꼬리문제,5
패턴,5
인적이없는,5
애착,5
귀끝처짐,5
질투,5
백신완료,5
응급처치,5
심잡음,5
안정적,5
신경질환,5
네발털,5
훈련중,5
딸기코,5
양위송곳니,5
꼬리위로말림,5
잠복성,5
이빨드러냄,5
자충,5
안락,5
가벼움,5
털이많음,5
이빨,5
꼬리남김,4
곰돌이,4
강인함,4
멀미,4
교상,4
귀뒤로넘김,4
네발털짧음,4
잠복,4
다가감,4
추운,4
골반손상,4
기증처리,4
귀약,4
체계적관리,4
자견,4
씩씩함,4
들개,4
기생충증,4
동배자견,4
광견백신,4
짧음,4
털문제,4
발발,4
귀짝처짐,4
양전지,4
우유자국,4
콧잔,4
강한,4
혀내밈,4
백설기,4
돌아다님,4
하트모양코,4
모성,4
촉촉한털,4
안질충,4
유니크함,4
근육손상,4
절음,4
각자개성,4
반려견,4
털뭉치,4
거부감없음,4
안구질환,4
어미와함께,4
긴꼬리,4
사상충예방,4
생식기,4
여리함,4
발끝,4
네발,4
입주변,4
귀뒤로잘넘김,4
잘넘김,4
몸에힘줌,4
꼬리털긺,4
백곰,4
가출,4
고환,4
윗송곳니,4
아토피,4
천식,4
우울함,4
결석,4
발바리,4
관리필요,4
행복,4
짝처짐,3
구분안됨,3
꼬리콥터,3
인내심,3
행복함,3
인식표,3
사진찍기좋아함,3
개선충,3
헥헥댐,3
후지,3
닮음,3
나이어려움,3
적합함,3
이빠짐,3
어미견,3
흔들림,3
외부기생충구제제도포,3
체구,3
빠짐,3
소독,3
교육됨,3
독특한외모,3
털떼탐,3
미소,3
송곳니빠짐,3
약처방,3
말림,3
뒷발,3
뾰족한귀,3
시력저하,3
지능,3
백신접종완료,3
털긺,3
묶임,3
아래앞니,3
허벅지,3
귀짧음,3
나이불확실,3
늠름함,3
못디딤,3
위로말림,3
자매,3
안구손상,3
강함,3
긴귀,3
이빨빠짐,3
털털함,3
우후지,3
꼬리길이,3
귀찮음,3
스킨십,3
비강,3
좌후지,3
겁X,3
입가검털,3
불편,3
꼬리끝말림,3
치아이상,3
세련된,3
소녀,3
짝짝이,3
외부기생충예방,3
털털,3
귀반접,3
꼬리를물지않는,3
윗앞니빠짐,3
독립적,3
우안,3
심함,3
네다리,3
치주염,3
이목구비,3
소음민감,3
까망털,3
인대파열,3
엄마닮음,3
털이긴,3
의심,3
알비노,3
러블리,3
치아,3
보행,3
누워만있음,3
안구돌출,3
달래기좋아함,3
헌신적,3
동복자견,3
관리잘됨,3
주인애,3
예방,3
귀반,3
솜사탕,3
이빨손상,3
비염,3
찰과상,3
뒷다리약함,3
발적,3
가정적합,3
북실북실한털,3
상태,3
귀가선하,3
코검,3
사이좋음,3
꼬리흔듦,3
우아함,3
가늘,3
송곳니결핍,3
주둥이,3
야생성,3
왼쪽심함,3
적합,3
어울림,3
기특함,3
따뜻함,3
송곳니짧음,3
매너벨트,3
이빨일부없음,3
옆구리,3
털좋음,3
발털짧음,3
아래송곳니,3
뼈노출,3
독특한,3
깨진송곳니,3
락드림,3
등뼈만져짐,3
보행부자스러움,2
후지경,2
왼귀처짐,2
위아래앞니없음,2
위송곳니없음,2
각막염,2
털거침,2
도로변,2
턱선,2
엉덩이털,2
털이밀린,2
격리,2
항문헐음,2
힘이없음,2
유실견,2
안약,2
약한,2
뱃짝늘어짐,2
덩치,2
혀내밀,2
킁킁거림,2
길쭉한귀,2
청일점,2
러블리함,2
오른귀,2
관리미흡,2
지시어훈련,2
이빨거의없음,2
상태좋음,2
길쭉한체형,2
오른위송곳니없음,2
오른귀처짐,2
외동티,2
귀잘림,2
아련미,2
찢어짐,2
털묻음,2
조종소방서,2
춥다,2
털젖음,2
몸매,2
털덮임,2
옴감염,2
사냥견,2
근육,2
감기,2
새끼와함께옴,2
털댐탐,2
양후지못씀,2
나이불가,2
신기함,2
말랑,2
싫어함,2
털떼어짐,2
꼬리길게,2
처음반려견적합,2
좋아함,2
지킴이,2
부부,2
장파열,2
빠름,2
올무,2
악취,2
송곳니없음,2
추워요,2
척추손상,2
다리털,2
각막천공,2
실명,2
이빨닳음,2
도움요청,2
나이확인불가,2
양안,2
귀가세워진,2
엄빠,2
이빨깨짐,2
마스티프느낌,2
잘림,2
검사완료,2
꼬리털길게남김,2
털긴,2
인수,2
안정감,2
뚜렷한이목구비,2
왼귀,2
쫓음,2
운영,2
보호소지정,2
독특한패턴,2
사료섭취,2
인절미,2
관리요구량,2
기억력,2
포동한,2
혀내밀음,2
파고들어감,2
팔랑이귀,2
앞니이상,2
뒤로넘김,2
꼬리끝털남김,2
코팥죽,2
귀끝잘림,2
인형,2
사료,2
무른변,2
윙크,2
안면,2
고민,2
사료선호,2
꼬리달림,2
사진찍기,2
앞다리,2
어미와함께옴,2
냄새,2
반달곰,2
치주질환,2
유니크한,2
시간필요,2
리더쉽,2
여아,2
가정적,2
많음,2
항문,2
주근깨,2
사진,2
꼬질함,2
고유한,2
반복적인행동,2
민들레홀씨털,2
반짝이는,2
선명함,2
내추럴,2
경구투여,2
귀쳐짐,2
입벌림,2
거부감,2
촉촉한,2
새끼를낳음,2
길바닥,2
낳음,2
신체적인,2
근육질,2
꼬리흔들기,2
댕댕이,2
양윗송곳니,2
찾음,2
개골,2
바랜코,2
거리생활,2
독특함,2
예상,2
웨이브털,2
가늘다,2
의존,2
기관지협착,2
다리문제,2
새끼낳음,2
허니아,2
과수원,2
안면부,2
귀짝,2
윗앞니없음,2
털심,2
이빨거의,2
모량,2
마모,2
고령,2
야생적인,2
안구백탁,2
꼬물이,2
견고함,2
검털섞임,2
귀가길다,2
뽈뽈거리는,2
원숭이,2
공을좋아함,2
귀상태,2
낭종,2
반전,2
불린사료,2
잠부족,2
각막손상,2
걷기미흡,2
깨짐,2
훈련필요함,2
패딩,2
목욕잘함,2
샤프함,2
반짝반짝,2
상냥함,2
인절미귀,2
주름,2
윗니없음,2
체형,2
치아유실,2
파고듦,2
몸무게,2
우안체리아이,2
물개형태,2
나이확인어려움,2
귀뒤,2
헤비급,2
입주변털,2
차우차우,2
발바닥,2
꼬리미단,2
신체적특징,2
꼬리없음,2
장모,2
힘없음,2
삼형제,2
상태불량,2
친절한,2
날렵함,2
목도리,2
거부함,2
세련미,2
대칭,2
홍일점,2
흔적,2
길다,2
중단모,2
관리잘함,2
웃음,2
화려함,2
발가락다섯개,2
털남김,2
함께옴,2
주인분실,2
앉음가능,2
귀끝,2
신비로움,2
포유동물,2
아이라인진함,2
달려다님,2
수염,2
기슈견,2
걷기,2
처짐,2
새끼와함께,2
침착,2
꼬리끝털긺,2
귀문제,2
백치미,2
걷기불편,2
잠복적,2
꼬리꼬리,2
끝뭉툭,2
세척,2
꼬리털길이,2
매우좋아함,2
날씬함,2
떠돌이생활,2
털엉망,2
기본훈련,2
기생충,2
아랫니,2
영유아적합,2
안락사,2
적합한,2
머즐,2
단호함,2
뒷다리이상,2
딱지,2
껌딱지,2
지알디아X,2
모견,2
꼬리끝꺾임,2
분리불안X,2
돌출,2
HW,2
체온높음,2
폼피츠,2
착하,2
손가능,2
듬직함,2
코트,2
경량,2
호피털,2
이국적인외모,2
복수,2
다이어트,2
기본교육,2
귀모양,2
박쥐날개모양귀,1
