견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
시바,시바,"Beige, White",2018.01,4.6,13.0,http://www.animal.go.kr/files/shelter/2022/08/202208260908535.png,Y,M,U,,대전광역시 유성구,1,4,13,0,2,Y
믹스,믹스,"Beige, Black",2018.01,3.6,5.0,http://www.animal.go.kr/files/shelter/2021/08/202108121308472.jpg,Y,F,N,-242 동시구조,대전광역시 유성구,0,3,5,1,1,Y
시츄,시츄,"Black, White",2011.01,10.0,4.1,http://www.animal.go.kr/files/shelter/2020/11/202012151212171.jpg,Y,F,U,"귀끝검정, 검이동장, 두마리와함께입소",경기도 안산시,1,10,4,1,2,Y
믹스,믹스,White,2022.01,0.3,0.75,http://www.animal.go.kr/files/shelter/2022/04/202205111705255.png,Y,M,N,"온순, 공고번호049모견이분만함, 젖떼고입양보낼예정",충청북도 진천군,0,0,1,0,1,Y
믹스,믹스,"Brown, White",2022.01,0.1,0.6,http://www.animal.go.kr/files/shelter/2022/02/202202271302697.jpg,Y,F,U,어미와 함께 포획,충청남도 홍성군,0,0,1,1,2,Y
푸들,푸들,Brown,2018.01,5.0,4.8,http://www.animal.go.kr/files/shelter/2022/12/202301071701356.jpg,Y,F,N,"순한 성격, 분홍 옷 착용, 옴 피부병브라벡토 처방하였음",충청북도 청주시,1,5,5,1,1,Y
말티즈,말티즈,White,2020.01,2.6,5.6,http://www.animal.go.kr/files/shelter/2022/07/202207281007731.jpg,Y,M,Y,미용되어 있음,경기도 파주시,1,2,6,0,0,Y
믹스,믹스,White,2016.01,5.5,5.0,http://www.animal.go.kr/files/shelter/2021/06/202106152306162.jpg,Y,F,N,말티즈믹스개이며 파란목태을하고있고 순한편임,전라북도 익산시,0,5,5,1,1,Y
믹스,믹스,White,2022.01,0.3,1.74,http://www.animal.go.kr/files/shelter/2022/05/202205041605573.jpg,Y,F,N,,인천광역시 강화군,0,0,2,1,1,Y
말티즈,말티즈,White,2011.01,10.9,4.0,http://www.animal.go.kr/files/shelter/2021/11/202111221111544[1].jpg,Y,M,U,순함,부산광역시 해운대구,1,10,4,0,2,Y
믹스,믹스,Brown,2021.01,1.4,13.0,http://www.animal.go.kr/files/shelter/2022/04/202205181605344.jpeg,Y,F,U,주인사망으로 입소,경기도 성남시,0,1,13,1,2,Y
믹스,믹스,"Black, White",2022.01,0.2,13.0,http://www.animal.go.kr/files/shelter/2022/03/202203071003744.jpg,Y,M,N,"검정색, 흰색 털",강원도 태백시,0,0,13,0,1,Y
