견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
믹스,믹스,White,2023.01,0.8,3.0,http://www.animal.go.kr/files/shelter/2023/07/202310161110449.jpg,Y,F,N,6마리 함께 구조,충청남도 천안시,0,0,3,1,1,Y
믹스,믹스,White,2021.01,0.7,2.0,http://www.animal.go.kr/files/shelter/2021/09/202109121609729.jpg,Y,M,U,"온순함, 피부병 있음",경상남도 거창군,0,0,2,0,2,Y
믹스,믹스,"Black, Brown, White",2023.01,0.8,1.1,http://www.animal.go.kr/files/shelter/2023/07/202310311410539.jpg,Y,F,N,"귀엽고 사랑스럽고 보호가 필요해, 빨리 데려가 주세요",경기도 평택시,0,0,1,1,1,Y
믹스,믹스,White,2021.01,1.0,2.7,http://www.animal.go.kr/files/shelter/2021/12/202112221512858[1].jpg,Y,F,N,"박스에 3마리 담아 유기, 온순함",대구광역시 달성군,0,1,3,1,1,Y
사모예드,사모예드,White,2022.01,0.6,3.49,http://www.animal.go.kr/files/shelter/2022/07/202207281607163.jpg,Y,M,N,"얌전한편, 꼬리콥터 장착, 진드기심각, 왼쪽 각막 백탁, 사모예드믹스",경상북도 경주시,1,0,3,0,1,Y
믹스,믹스,White,2022.01,0.5,9.0,http://www.animal.go.kr/files/shelter/2022/06/202207120807696.png,Y,F,N,사람을 매우 좋아하며 애교가 많음,전라남도 영암군,0,0,9,1,1,Y
믹스,믹스,Ivory,2019.01,2.8,18.0,http://www.animal.go.kr/files/shelter/2021/10/202110270910547.jpg,Y,F,N,빨간목줄,제주특별자치도 제주시,0,2,18,1,1,Y
믹스,믹스,Brown,2023.01,0.8,1.8,http://www.animal.go.kr/files/shelter/2023/07/202310171610201.jpg,Y,M,U,"순함, 꼬리 짧음",충청남도 서산시,0,0,2,0,2,Y
믹스,믹스,White,2021.01,2.0,15.0,http://www.animal.go.kr/files/shelter/2022/12/202212250812528.jpg,Y,M,U,"목줄착용, 온순함",경상남도 창원시,0,2,15,0,2,Y
진도,진도,"Black, Gray",2021.01,0.2,1.4,http://www.animal.go.kr/files/shelter/2020/11/202103041403552.jpg,Y,M,N,"입양예정, 온순함",전라남도 여수시,1,0,1,0,1,Y
진도,진도,White,2019.01,2.3,17.5,http://www.animal.go.kr/files/shelter/2021/04/20210503110539.jpg,Y,F,N,"경계심 많음, 하네스리더줄 착용",울산광역시 울주군,1,2,18,1,1,Y
믹스,믹스,"Brown, White",2022.01,0.3,1.8,http://www.animal.go.kr/files/shelter/2022/04/202204181104503.jpg,Y,F,N,,경상남도 고성군,0,0,2,1,1,Y
믹스,믹스,Ivory,2019.01,3.4,22.0,http://www.animal.go.kr/files/shelter/2022/05/20220510100598.jpg,Y,F,N,귀부분 황색,부산광역시 강서구,0,3,22,1,1,Y
말티즈,말티즈,White,2019.01,3.8,4.0,http://www.animal.go.kr/files/shelter/2022/09/202210171910686.jpg,Y,F,U,"온순하고 잘따름, 미용됨, 인도를 배회",전라남도 무안군,1,3,4,1,2,Y
믹스,믹스,Brown,2019.01,2.5,9.6,http://www.animal.go.kr/files/shelter/2021/05/202106171306879.jpg,Y,M,N,귀염증,경기도 성남시,0,2,10,0,1,Y
믹스,믹스,"Black, White",2022.01,0.9,9.0,http://www.animal.go.kr/files/shelter/2022/11/202211241211419.jpg,Y,M,Y,칠리,광주광역시 북구,0,0,9,0,0,Y
믹스,믹스,White,2021.01,1.0,15.0,http://www.animal.go.kr/files/shelter/2022/01/202201171701844.jpg,Y,F,N,"주황색 목줄착용, 온순함",서울특별시 강동구,0,1,15,1,1,Y
믹스,믹스,White,2022.01,0.1,1.0,http://www.animal.go.kr/files/shelter/2022/02/202202211802456.jpg,Y,Q,U,어미와 새끼6마리 동시 구조,경상북도 청도군,0,0,1,2,2,Y
포메라니안,포메라니안,"Black, Brown",2022.01,1.8,4.0,http://www.animal.go.kr/files/shelter/2023/07/202310041010809.jpg,Y,M,N,주황색목줄착용,인천광역시 계양구,1,1,4,0,1,Y
믹스,믹스,"Brown, Gray",2022.01,0.2,2.7,http://www.animal.go.kr/files/shelter/2022/03/202203311403475.jpg,Y,M,N,노란색 목띠착용우측이마상처 왼앞발골절,경상북도 구미시,0,0,3,0,1,Y
믹스,믹스,"Brown, White",2021.01,1.9,18.0,http://www.animal.go.kr/files/shelter/2022/11/20221209171278.jpg,Y,M,N,"순한성격의 황구, 빨간색 흰 줄무늬 목걸이 착용",충청북도 청주시,0,1,18,0,1,Y
믹스,믹스,White,2020.01,3.4,10.8,http://www.animal.go.kr/files/shelter/2023/05/202306090906253.jpg,Y,F,U,"빨간징목줄, 심장사상충, 경계심",제주특별자치도 제주시,0,3,11,1,2,Y
푸들,푸들,White,2016.01,5.3,5.0,http://www.animal.go.kr/files/shelter/2021/05/202105282305551.jpg,Y,F,N,"바디줄, 눈물자국, 웃는모습이매력적임, 강서구호",부산광역시 강서구,1,5,5,1,1,Y
믹스,믹스,Brown,2021.01,0.3,5.0,http://www.animal.go.kr/files/shelter/2021/04/202104191504182.jpg,Y,M,N,피부병이 있음,전라북도 김제시,0,0,5,0,1,Y
셰퍼드,셰퍼드,Brown,2019.01,2.9,35.0,http://www.animal.go.kr/files/shelter/2023/01/202302020902830.jpg,Y,M,N,처음보는 사람 무섭지만 그게 애정표현임,전라북도 정읍시,1,2,35,0,1,Y
프렌치불독,프렌치불독,"Black, White",2021.01,1.7,11.0,http://www.animal.go.kr/files/shelter/2022/09/202209021509546.jpg,Y,M,Y,사람을잘따름,강원도 속초시,1,1,11,0,0,Y
믹스,믹스,Beige,2020.01,3.6,7.0,http://www.animal.go.kr/files/shelter/2023/07/202308141008812.jpg,Y,F,U,녹색목줄을 하고 있으며 사람을 잘 따름,강원도 고성군,0,3,7,1,2,Y
믹스,믹스,"Beige, Gray, White",2022.01,0.3,2.4,http://www.animal.go.kr/files/shelter/2022/04/202205041705675.jpg,Y,F,N,"4남매, 가정미용 되어있음좀 엉망으로 한 상태, 재 미용필요, 가장큰편, 소심온순, 몰키 느낌",경상북도 포항시,0,0,2,1,1,Y
퍼그,퍼그,Brown,2021.01,0.3,2.4,http://www.animal.go.kr/files/shelter/2021/04/202104191104894.jpg,Y,M,N,,제주특별자치도 제주시,1,0,2,0,1,Y
시바,시바,"Black, Brown",2021.01,1.5,7.0,http://www.animal.go.kr/files/shelter/2022/04/202207012307945.jpg,Y,M,N,녹색목줄 착용,전라북도 전주시,1,1,7,0,1,Y
믹스,믹스,Tri,2023.01,0.7,1.2,http://www.animal.go.kr/files/shelter/2023/07/202309151509529.jpg,Y,F,U,2마리 같이 구조,인천광역시 중구,0,0,1,1,2,Y
믹스,믹스,Beige,2022.01,0.5,2.0,http://www.animal.go.kr/files/shelter/2022/07/202207142007965.jpeg,Y,M,N,"흰, 갈색",강원도 원주시,0,0,2,0,1,Y
믹스,믹스,Brown,2021.01,0.1,2.0,http://www.animal.go.kr/files/shelter/2020/11/202101281101476.jpg,Y,F,U,,충청남도 홍성군,0,0,2,1,2,Y
