견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
골든리트리버,골든리트리버,Brown,2016.01,5.6,30.0,http://www.animal.go.kr/files/shelter/2021/08/202108061708878.jpg,Y,F,U,,대구광역시 동구,1,5,30,1,2,Y
푸들,푸들,Beige,2019.01,3.9,3.0,http://www.animal.go.kr/files/shelter/2022/11/20221125171110.jpg,Y,M,U,상태,대전광역시 유성구,1,3,3,0,2,Y
믹스,믹스,Ivory,2022.01,1.3,7.0,http://www.animal.go.kr/files/shelter/2023/05/202305011805767.jpg,Y,F,U,"2마리 함께 구조, 사람을 싫어하지 않으나 겁이 많음",충청남도 천안시,0,1,7,1,2,Y
믹스,믹스,"Beige, White",2021.01,0.9,3.5,http://www.animal.go.kr/files/shelter/2021/11/202111191411627.jpg,Y,M,N,"2마리 함께 구조, 다리짧음, 겁 매우많고 툭하면 몸을 뒤집음, 귀여움",충청남도 천안시,0,0,4,0,1,Y
믹스,믹스,"Black, White",2023.01,0.1,1.5,http://www.animal.go.kr/files/shelter/2023/01/202302061502154.jpg,Y,F,U,"피부병, 순함, 종합백신1차 완료23, 02, 08, 입양완료 2023, 02, 전산처리예정",충청남도 당진시,0,0,2,1,2,Y
말티즈,말티즈,White,2020.01,1.9,5.2,http://www.animal.go.kr/files/shelter/2021/11/202112031512746.jpg,Y,F,N,사나움,경기도 평택시,1,1,5,1,1,Y
진도,진도,"Beige, Black",2020.01,1.6,15.0,http://www.animal.go.kr/files/shelter/2021/08/20210812160845[1].jpg,Y,F,N,,대전광역시 유성구,1,1,15,1,1,Y
말티즈,말티즈,White,2010.01,11.7,3.7,http://www.animal.go.kr/files/shelter/2021/09/202109101409317.jpg,Y,F,N,순함,경기도 평택시,1,11,4,1,1,Y
믹스,믹스,White,2023.01,0.0,2.5,http://www.animal.go.kr/files/shelter/2023/01/202301171701388.jpg,Y,F,N,"입소전 검사 완료, 종합백신, 광견병 접종",전라남도 여수시,0,0,2,1,1,Y
푸들,푸들,Brown,2015.01,7.8,3.3,http://www.animal.go.kr/files/shelter/2022/11/202211071111161.jpg,Y,F,U,"눈물자국 심함, 코갈색, 전신미용흔적, 사람잘따름, 꼬리단미안됨, 털상태",경기도 양주시,1,7,3,1,2,Y
푸들,푸들,Black,2019.01,3.6,3.8,http://www.animal.go.kr/files/shelter/2022/08/202208260908822.jpg,Y,F,N,"목줄, 견인줄 미착용",충청북도 영동군,1,3,4,1,1,Y
믹스,믹스,Black,2022.01,0.5,7.0,http://www.animal.go.kr/files/shelter/2022/04/202206171106112.jpg,Y,F,N,순하고 사람을 좋아함,전라남도 무안군,0,0,7,1,1,Y
믹스,믹스,Brown,2020.01,1.2,5.2,http://www.animal.go.kr/files/shelter/2021/01/202103111303549.png,Y,M,N,"빨간목줄, 갈색하네스, 녹색굵줄 착용",경상북도 경주시,0,1,5,0,1,Y
