견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
믹스,믹스,Brown,2019.01,3.8,22.5,http://www.animal.go.kr/files/shelter/2022/10/202210211810815.jpg,Y,M,N,"겁많음, 목줄 착용, 착함, 순함",인천광역시 서구,0,3,22,0.0,1,Y
믹스,믹스,Black,2022.01,0.5,1.5,http://www.animal.go.kr/files/shelter/2022/06/202206270906283.jpg,Y,F,N,,전라남도 나주시,0,0,2,1.0,1,Y
진도,진도,White,2016.01,5.1,17.0,http://www.animal.go.kr/files/shelter/2020/11/20210208110282.jpg,Y,M,N,"목줄착용, 경계",강원도 원주시,1,5,17,0.0,1,Y
말티즈,말티즈,White,2017.01,6.7,3.7,http://www.animal.go.kr/files/shelter/2023/07/202309291609159.jpg,Y,M,Y,"최근 미용된 것으로, 사람을 좋아하지만 약간 소심한 편",경기도 시흥시,1,6,4,0.0,0,Y
믹스,믹스,"Black, Brown",2023.01,0.7,1.36,http://www.animal.go.kr/files/shelter/2023/07/202309112309431.jpg,Y,M,N,"원룸 인근 풀숲에서 구조, 진드기 감염 치료함",경상북도 경산시,0,0,1,0.0,1,Y
프렌치불독,프렌치불독,"Black, Brown",2019.01,3.5,9.1,http://www.animal.go.kr/files/shelter/2022/07/202207181707846.jpg,Y,M,U,검정갈색,경상남도 양산시,1,3,9,0.0,2,Y
말티즈,말티즈,White,2020.01,2.7,2.5,http://www.animal.go.kr/files/shelter/2022/09/202209221609508.jpg,Y,M,Y,"사진수정중앙여고 근처 산책로 운동기구에서 발견, 입소전 검사 없음, 종합백신, 광견병 접종9, 21",전라남도 여수시,1,2,2,0.0,0,Y
믹스,믹스,"Black, White",2020.01,1.7,6.0,http://www.animal.go.kr/files/shelter/2021/09/202109081709440.jpg,Y,M,N,"초록색목테착용, 엄청 관리 잘 받 비단결 털, 실물이 소녀로 오해할거 같 미소, 꼬리콥터장착, 너무이쁨",경상북도 포항시,0,1,6,0.0,1,Y
믹스,믹스,Beige,2021.01,0.9,1.4,http://www.animal.go.kr/files/shelter/2021/11/202111241611865.png,Y,F,N,피부질환,전라북도 남원시,0,0,1,1.0,1,Y
말티즈,말티즈,White,2021.01,0.4,1.42,http://www.animal.go.kr/files/shelter/2021/05/202105242205614.jpg,Y,M,N,옥곡동 한일유앤아이 인근 상가 부근에서 발견하여 구조,경상북도 경산시,1,0,1,0.0,1,Y
믹스,믹스,"Black, Brown",2017.01,5.8,5.0,http://www.animal.go.kr/files/shelter/2022/11/202211291111566.jpg,Y,M,N,"방일리 단독주택 발견, 목줄, 목걸이 X",경기도 가평군,0,5,5,0.0,1,Y
믹스,믹스,"Black, White",2021.01,1.4,3.0,http://www.animal.go.kr/files/shelter/2022/04/202205161705426.jpeg,Y,M,N,"온순하고, 경계심이 많음",경상남도 남해군,0,1,3,0.0,1,Y
믹스,믹스,"Black, Brown",2017.01,4.2,25.0,http://www.animal.go.kr/files/shelter/2021/01/202103111503123.jpg,Y,F,N,,경기도 고양시,0,4,25,1.0,1,Y
믹스,믹스,"Brown, White",2021.01,1.0,1.0,http://www.animal.go.kr/files/shelter/2021/12/202112311512963.jpg,Y,F,N,새끼3,전라북도 군산시,0,1,1,1.0,1,Y
믹스,믹스,Blacktan,2022.01,0.5,1.66,http://www.animal.go.kr/files/shelter/2022/05/20220620150674.jpg,Y,M,N,"어미386번, 6, 6kg와 함께 구조",경상북도 경산시,0,0,2,0.0,1,Y
믹스,믹스,"Black, Brown, White",2020.01,2.2,20.0,http://www.animal.go.kr/files/shelter/2022/02/202203031003229.jpg,Y,F,N,"애교 많음, 활동적",경상남도 함안군,0,2,20,1.0,1,Y
믹스,믹스,Brown,2022.01,1.4,6.5,http://www.animal.go.kr/files/shelter/2023/05/202306141406715[1].jpg,Y,F,U,약간 소심하지만 아주 귀여운 아이,경기도 용인시,0,1,6,1.0,2,Y
스피츠,스피츠,White,2020.01,2.0,3.0,http://www.animal.go.kr/files/shelter/2021/12/202112151012232.jpg,Y,M,Y,순함,경기도 안산시,1,2,3,0.0,0,Y
프렌치불독,프렌치불독,Black,2019.01,3.4,8.0,http://www.animal.go.kr/files/shelter/2022/04/202205090905705.jpg,Y,F,N,수컷과 같이 발견,충청남도 보령시,1,3,8,1.0,1,Y
믹스,믹스,Ivory,2021.01,2.9,10.0,http://www.animal.go.kr/files/shelter/2023/11/202311151311752.jpg,Y,M,N,"활발함, 사람, 강아지를 좋아함",경상남도 사천시,0,2,10,0.0,1,Y
믹스,믹스,"Black, White",2018.01,3.6,5.0,http://www.animal.go.kr/files/shelter/2021/07/202108040908466.jpg,Y,F,N,사람을 잘 따르고 순한 아이,경상남도 밀양시,0,3,5,1.0,1,Y
믹스,믹스,Beige,2022.01,1.5,12.0,http://www.animal.go.kr/files/shelter/2023/05/202307131707629.jpg,Y,F,U,"목에 긴 쇠줄을 달고있음, 얼굴에 상처도 있어",전라북도 부안군,0,1,12,1.0,2,Y
믹스,믹스,"Black, Spotted, White",2021.01,0.2,1.0,http://www.animal.go.kr/files/shelter/2021/03/20210316110371.jpg,Y,M,N,수컷,전라북도 부안군,0,0,1,0.0,1,Y
라브라도리트리버,라브라도리트리버,"Beige, White",2016.01,6.8,25.0,http://www.animal.go.kr/files/shelter/2022/09/202210120810231.jpg,Y,F,N,순함,경상북도 영천시,1,6,25,1.0,1,Y
라브라도리트리버,라브라도리트리버,Brown,2018.01,4.7,30.0,http://www.animal.go.kr/files/shelter/2022/09/202209151109827.jpg,Y,M,N,"순하며 활발한 성격, 주황색 목걸이, 쇠사슬 목줄 착용 상태",충청북도 청주시,1,4,30,0.0,1,Y
포메라니안,포메라니안,White,2021.01,1.7,4.0,http://www.animal.go.kr/files/shelter/2022/09/202209051509588.jpg,Y,M,N,외국인견주 강제추방으로홀로남아이 뒷다리보행불편한상태,경상북도 칠곡군,1,1,4,0.0,1,Y
믹스,믹스,"Black, Brown",2019.01,2.8,10.0,http://www.animal.go.kr/files/shelter/2021/10/202111011411277.jpg,Y,F,U,"양귀쫑긋, 코검정, 사람따름, 활발, 짝 낑낑댐, 꼬리단미안됨, 털때탐, 발정",경기도 양주시,0,2,10,1.0,2,Y
사모예드,사모예드,White,2022.01,0.6,3.49,http://www.animal.go.kr/files/shelter/2022/07/202207281607163.jpg,Y,M,N,"얌전한편, 꼬리콥터 장착, 진드기심각, 왼쪽 각막 백탁, 사모예드믹스",경상북도 경주시,1,0,3,0.0,1,Y
믹스,믹스,White,2019.01,3.4,13.0,http://www.animal.go.kr/files/shelter/2022/10/202210211510432.jpg,Y,F,N,"현리 단독주택 앞에서 발견, 경계심이 강함, 목줄, 목걸이 X",경기도 가평군,0,3,13,1.0,1,Y
믹스,믹스,Ivory,2021.01,1.2,8.0,http://www.animal.go.kr/files/shelter/2022/03/202203292303355.jpg,Y,M,U,220공고,충청남도 아산시,0,1,8,0.0,2,Y
믹스,믹스,"Beige, White",2021.01,0.3,0.8,http://www.animal.go.kr/files/shelter/2021/04/202104221504305[1].jpg,Y,M,N,"6남매, 엄마5키로, 한 베이지색의 파티컬러, 무심한듯 시크한 성격에 어른스러운 스타일",경상북도 포항시,0,0,1,0.0,1,Y
믹스,믹스,"Black, Brown",2016.01,6.2,5.0,http://www.animal.go.kr/files/shelter/2022/03/20220307170328.jpg,Y,M,Y,찰리,광주광역시 북구,0,6,5,0.0,0,Y
말티즈,말티즈,White,2011.01,12.6,2.38,http://www.animal.go.kr/files/shelter/2023/07/202308091408447.jpg,Y,F,N,온순함,충청북도 제천시,1,12,2,1.0,1,Y
골든리트리버,골든리트리버,Brown,2021.01,1.2,18.0,http://www.animal.go.kr/files/shelter/2022/03/202203272203173.jpg,Y,F,N,사람을 많이 좋아하고 온순함,전라북도 완주군,1,1,18,1.0,1,Y
포메라니안,포메라니안,White,2019.01,2.5,3.3,http://www.animal.go.kr/files/shelter/2021/06/20210626150661.jpg,Y,M,N,"전신미용되어있음, 경계함, 공격적임, 꼬리단미안됨, 털상태",경기도 양주시,1,2,3,0.0,1,Y
푸들,푸들,"Gray, White",2019.01,3.5,4.0,http://www.animal.go.kr/files/shelter/2022/06/202206281706105.jpg,Y,F,U,"양귀처짐, 검정코, 푸들혼종, 사람에게 안김, 얌전함, 꼬리단미안됨, 털때탐, 오른귀 외이염",경기도 양주시,1,3,4,1.0,2,Y
믹스,믹스,Beige,2023.01,0.6,1.5,http://www.animal.go.kr/files/shelter/2023/07/202308241008126.jpg,Y,F,U,,충청남도 홍성군,0,0,2,1.0,2,Y
믹스,믹스,Brindle,2019.01,3.4,15.0,http://www.animal.go.kr/files/shelter/2022/04/202206071606627.jpg,Y,F,Y,"목줄착용, 순함, 오른쪽 귀아래부분 상처있음, 오드아이블루반, 갈색반 파이아이 말랐음",경상남도 창원시,0,3,15,1.0,0,Y
프렌치불독,프렌치불독,Beige,2020.01,3.5,10.0,http://www.animal.go.kr/files/shelter/2023/05/202307101407839.jpg,Y,M,N,단미,경기도 고양시,1,3,10,0.0,1,Y
푸들,푸들,Brown,2016.01,5.1,3.5,http://www.animal.go.kr/files/shelter/2020/11/202102151702496.jpg,Y,F,N,전체적으로 관리가 안되어있음,경기도 양평군,1,5,4,1.0,1,Y
시츄,시츄,"Brown, White",2011.01,10.7,4.0,http://www.animal.go.kr/files/shelter/2021/08/202108311208554.jpg,Y,F,N,칩내장애름 : 웅이,경상남도 창원시,1,10,4,1.0,1,Y
믹스,믹스,White,2021.01,2.2,16.0,http://www.animal.go.kr/files/shelter/2023/01/202303032103998.jpg,Y,M,N,"경계가 심하고 낯가림, 마을을 배회하는 유기견",전라남도 무안군,0,2,16,0.0,1,Y
믹스,믹스,"Black, Brindle, Brown",2019.01,2.2,15.0,http://www.animal.go.kr/files/shelter/2021/03/202103161103695.jpg,Y,F,N,"호피색, 보소방서 구조구급센터에서 인수",충청남도 보령시,0,2,15,1.0,1,Y
믹스,믹스,"Beige, Brown",2021.01,0.2,12.0,http://www.animal.go.kr/files/shelter/2021/12/20211216151233.jpg,Y,M,Y,"순함, 두발로 서서 반겨줌, 애교 많고 안기는거 좋아함",경상남도 창원시,0,0,12,0.0,0,Y
믹스,믹스,Brown,2023.01,0.0,2.3,http://www.animal.go.kr/files/shelter/2022/12/202212280912303.jpg,Y,F,N,,제주특별자치도 제주시,0,0,2,1.0,1,Y
비숑프리제,비숑프리제,White,2019.01,2.3,4.8,http://www.animal.go.kr/files/shelter/2021/04/202104171304224.jpg,Y,F,U,"주황색목줄, 흰빨간 줄무늬옷, 전신미용흔적머리, 꼬리 남김, 사람따름, 왼슬개골, 칩있음",경기도 양주시,1,2,5,1.0,2,Y
믹스,믹스,"Beige, White",2022.01,1.9,6.3,http://www.animal.go.kr/files/shelter/2023/07/202311091511958.jpg,Y,M,N,"귀쫑긋, 코검정, 약간 겁있음, 온순, 도깨비바늘 오염, 꼬리단미안됨, 털상태",경기도 양주시,0,1,6,0.0,1,Y
믹스,믹스,White,2021.01,0.4,0.5,http://www.animal.go.kr/files/shelter/2021/05/202106021006204.jpg,Y,F,U,1달강아지 2마리,경상북도 문경시,0,0,0,1.0,2,Y
말티즈,말티즈,White,2020.01,2.7,3.1,http://www.animal.go.kr/files/shelter/2022/09/202209191309408.jpg,Y,M,N,치석약간있으며잔류치있고미용한지2달되었으며온순하고잘따르나짖는편임,서울특별시 양천구,1,2,3,0.0,1,Y
믹스,믹스,"Beige, Black",2021.01,0.3,0.8,http://www.animal.go.kr/files/shelter/2021/04/202104161104490.jpg,Y,M,N,"7마리남매, 태어난지 겨우1달됨, 불린사료먹음, 엄마6키로, 반달곰아가같외모, 댕청미넘침",경상북도 포항시,0,0,1,0.0,1,Y
믹스,믹스,Brown,2019.01,2.9,25.0,http://www.animal.go.kr/files/shelter/2021/11/202112091112964.jpg,Y,M,N,포획틀 잡힘 순함,경상남도 거제시,0,2,25,0.0,1,Y
푸들,푸들,White,2014.01,7.8,3.0,http://www.animal.go.kr/files/shelter/2021/09/202110081410493.jpg,Y,F,U,"루미, 미용",광주광역시 북구,1,7,3,1.0,2,Y
믹스,믹스,White,2019.01,2.5,8.0,http://www.animal.go.kr/files/shelter/2021/07/202107081607784.jpg,Y,F,N,건강,강원도 정선군,0,2,8,1.0,1,Y
믹스,믹스,"Black, Brown",2021.01,0.9,1.0,http://www.animal.go.kr/files/shelter/2021/11/202112011712785.jpg,Y,F,N,"아가, 혼자 길에서 돌아다님, 조그맣고 귀여운 강아지",경기도 광주시,0,0,1,1.0,1,Y
푸들,푸들,White,2013.01,8.4,5.0,http://www.animal.go.kr/files/shelter/2021/05/202105251505274.jpg,Y,F,U,"초크체인 목줄착용, 부정교합, 순함",충청남도 당진시,1,8,5,1.0,2,Y
믹스,믹스,"Black, Brown, White",2022.01,0.4,1.0,http://www.animal.go.kr/files/shelter/2022/04/202205101505898.jpg,Y,M,N,"양귀반접힘, 코검정, 사람좋아함, 얌전, 꼬리단미안됨, 털때탐",경기도 양주시,0,0,1,0.0,1,Y
믹스,믹스,Brindle,2023.01,0.5,2.0,http://www.animal.go.kr/files/shelter/2023/05/20230616160602.jpg,Y,M,N,"좋합백신접종, 코로나장염접종, 광견병백신접종, 셀렉션",전라남도 순천시,0,0,2,0.0,1,Y
믹스,믹스,Ivory,2022.01,0.8,1.0,http://www.animal.go.kr/files/shelter/2022/11/202211062211133.jpg,Y,M,N,박스에 버러진얘기들,경기도 하남시,0,0,1,0.0,1,Y
믹스,믹스,White,2021.01,0.8,1.5,http://www.animal.go.kr/files/shelter/2021/09/202110051110935.jpeg,Y,F,N,보호소에서 태어남,강원도 원주시,0,0,2,1.0,1,Y
