견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
믹스,믹스,"Beige, White",2020.01,1.5,3.5,http://www.animal.go.kr/files/shelter/2021/07/202107141507714.jpg,Y,M,N,온순하며 파란색 목줄 착용,경상남도 함양군,0,1,4,0,1,Y
믹스,믹스,"Black, Brown, White",2020.01,1.5,7.2,http://www.animal.go.kr/files/shelter/2021/06/202106291506372.jpg,Y,F,U,"양귀쫑긋, 귀 뒤로 잘넘김, 코검정, 겁약간, 사람따름, 활발",경기도 양주시,0,1,7,1,2,Y
믹스,믹스,"Brown, White",2019.01,3.1,18.0,http://www.animal.go.kr/files/shelter/2022/02/202202170902842.png,Y,F,U,주인반환 예정,대전광역시 유성구,0,3,18,1,2,Y
휘펫,휘펫,"Black, Gray, White",2021.01,1.9,8.0,http://www.animal.go.kr/files/shelter/2022/11/202211291611291.jpg,Y,M,Y,포도,광주광역시 북구,1,1,8,0,0,Y
믹스,믹스,Ivory,2022.01,0.9,1.4,http://www.animal.go.kr/files/shelter/2022/11/202211301611618.jpg,Y,F,N,"건강상 임보 중, 온순함, 689번과 자매, 입소전 검사 완료, 종합백신, 광견병 접종",전라남도 여수시,0,0,1,1,1,Y
비숑프리제,비숑프리제,White,2019.01,3.1,3.5,http://www.animal.go.kr/files/shelter/2022/01/202201241601784.jpg,Y,F,U,미용,대구광역시 동구,1,3,4,1,2,Y
믹스,믹스,Brown,2019.01,2.2,4.6,http://www.animal.go.kr/files/shelter/2020/11/202103111803792.jpeg,Y,F,U,"포메믹스, 갈색 체크무늬 몸줄리더줄 착용",경기도 성남시,0,2,5,1,2,Y
진도,진도,White,2022.01,0.5,12.0,http://www.animal.go.kr/files/shelter/2022/04/20220628090663.png,Y,M,U,,대전광역시 유성구,1,0,12,0,2,Y
치와와,치와와,"Brown, White",2020.01,2.6,3.3,http://www.animal.go.kr/files/shelter/2022/08/202208131508298.jpg,Y,M,N,"검정색하네스하늘색리드줄배변봉투, 부정교합, 사람따름, 소심함, 겁약간, 꼬리단미안됨",경기도 양주시,1,2,3,0,1,Y
말티즈,말티즈,White,2019.01,4.8,3.5,http://www.animal.go.kr/files/shelter/2023/07/202310030910879.jpg,Y,M,Y,사람을 잘 따름,경기도 안성시,1,4,4,0,0,Y
믹스,믹스,"Black, White",2021.01,0.1,4.0,http://www.animal.go.kr/files/shelter/2021/01/202102221202449.jpg,Y,F,N,,경상남도 거제시,0,0,4,1,1,Y
믹스,믹스,Beige,2021.01,0.1,1.0,http://www.animal.go.kr/files/shelter/2020/11/202102151402631.jpg,Y,M,U,태어난지 얼마되지 않음,전라남도 곡성군,0,0,1,0,2,Y
믹스,믹스,Beige,2020.01,3.3,20.0,http://www.animal.go.kr/files/shelter/2023/04/202304141704766.jpeg,Y,M,N,"온순한 편, 믹스 대형견",충청북도 음성군,0,3,20,0,1,Y
페키니즈,페키니즈,White,2021.01,2.5,4.5,http://www.animal.go.kr/files/shelter/2023/05/202307190907265.png,Y,F,N,"하얀색 페키니즈, 성격 온순함",경기도 시흥시,1,2,4,1,1,Y
믹스,믹스,White,2021.01,0.9,1.0,http://www.animal.go.kr/files/shelter/2021/11/202111192211184.png,Y,M,N,산속에서 태어나 생활,경상북도 상주시,0,0,1,0,1,Y
믹스,믹스,Brown,2019.01,4.2,4.0,http://www.animal.go.kr/files/shelter/2023/03/202303281003510.png,Y,F,U,미상,대전광역시 유성구,0,4,4,1,2,Y
비숑프리제,비숑프리제,White,2017.01,4.7,5.0,http://www.animal.go.kr/files/shelter/2021/09/202109171309383[1].jpg,Y,M,N,"얼굴 지저분함, 소심하고 예민한 성격으로 약간 입질있어 조심해야함, 내장칩없음",경상북도 포항시,1,4,5,0,1,Y
비글,비글,"Black, Brown, White",2019.01,2.6,9.0,http://www.animal.go.kr/files/shelter/2021/08/20210817130852.jpg,Y,M,U,"전후, 얌전함",강원도 양구군,1,2,9,0,2,Y
프렌치불독,프렌치불독,"Black, White",2019.01,2.0,12.0,http://www.animal.go.kr/files/shelter/2020/11/202012301512208.jpg,Y,F,U,"사람에게 거부감 없고 온순함, 한 청색 목줄 착용중, 가슴에 희고 긴 무늬가 있음",경기도 화성시,1,2,12,1,2,Y
믹스,믹스,"Brown, White",2021.01,0.6,3.6,http://www.animal.go.kr/files/shelter/2021/08/202108131508479[1].jpg,Y,F,N,"2021-00263의 자견, 온순함",강원도 강릉시,0,0,4,1,1,Y
믹스,믹스,White,2021.01,2.2,10.0,http://www.animal.go.kr/files/shelter/2023/01/202302271702431[1].jpg,Y,M,U,목태·견줄,대전광역시 유성구,0,2,10,0,2,Y
사모예드,사모예드,White,2020.01,2.1,22.0,http://www.animal.go.kr/files/shelter/2022/01/202201311001313.jpg,Y,F,U,털이 지저분 함,대구광역시 동구,1,2,22,1,2,Y
믹스,믹스,White,2020.01,2.6,17.0,http://www.animal.go.kr/files/shelter/2022/07/202208051708108.jpg,Y,F,N,경계가 있음,전라북도 김제시,0,2,17,1,1,Y
믹스,믹스,Brown,2016.01,5.7,18.0,http://www.animal.go.kr/files/shelter/2021/09/202110011810714.png,Y,M,U,들개 신고에 따른 포획,부산광역시 강서구,0,5,18,0,2,Y
믹스,믹스,"Brown, White",2021.01,0.2,1.3,http://www.animal.go.kr/files/shelter/2020/11/202103081603529.jpg,Y,F,N,온순함,경상북도 울진군,0,0,1,1,1,Y
믹스,믹스,Beige,2021.01,0.6,3.0,http://www.animal.go.kr/files/shelter/2021/08/20210823230842.jpg,Y,M,N,똘똘하게 생긴 귀여운 강아지,경상남도 밀양시,0,0,3,0,1,Y
푸들,푸들,Brown,2015.01,7.2,5.0,http://www.animal.go.kr/files/shelter/2022/03/202203171203773.jpg,Y,F,U,"꽁이, 귀가예정",광주광역시 북구,1,7,5,1,2,Y
믹스,믹스,Ivory,2018.01,4.9,7.0,http://www.animal.go.kr/files/shelter/2022/11/202211281611506.jpg,Y,F,N,"귀 주황색털, 벤지",충청남도 천안시,0,4,7,1,1,Y
믹스,믹스,"Brown, White",2022.01,0.6,1.5,http://www.animal.go.kr/files/shelter/2022/08/202208241708180.jpg,Y,M,N,상태,강원도 동해시,0,0,2,0,1,Y
말티즈,말티즈,White,2006.01,15.6,3.0,http://www.animal.go.kr/files/shelter/2021/07/20210727190759.jpg,Y,M,N,"칩있음, 송곳니 2개만 남음",경기도 성남시,1,15,3,0,1,Y
믹스,믹스,Ivory,2022.01,1.2,7.0,http://www.animal.go.kr/files/shelter/2023/01/202303072003790.jpg,Y,F,N,"칩없음, 보드라운 털이 예쁜 아가",경기도 광주시,0,1,7,1,1,Y
