견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
믹스,믹스,"Black, Brown",2022.01,0.1,1.1,http://www.animal.go.kr/files/shelter/2022/02/202202241402137.jpg,Y,F,N,순하고 활발함,경상북도 구미시,0,0.1,1.1,1,1,Y
믹스,믹스,"Black, Brown, White",2020.01,1.0,0.9,http://www.animal.go.kr/files/shelter/2020/11/202012141112138.jpg,Y,M,N,순함,경상남도 진주시,0,1.0,0.9,0,1,Y
믹스,믹스,Ivory,2023.01,0.3,1.0,http://www.animal.go.kr/files/shelter/2023/04/202304211104334.jpg,Y,M,N,,대구광역시 동구,0,0.3,1.0,0,1,Y
믹스,믹스,Brown,2019.01,3.0,8.0,http://www.animal.go.kr/files/shelter/2021/12/202112301612966.jpg,Y,M,N,"허리가 길고 다리가 짧다, 주둥이가 검다, 온순하고 착한아이",경기도 화성시,0,3.0,8.0,0,1,Y
믹스,믹스,"Brown, White",2023.01,0.1,2.0,http://www.animal.go.kr/files/shelter/2023/01/202302241502183.jpg,Y,F,N,순하고이쁨,인천광역시 부평구,0,0.1,2.0,1,1,Y
믹스,믹스,Black,2023.01,0.6,2.0,http://www.animal.go.kr/files/shelter/2023/07/202308220908455.jpg,Y,F,N,"엄마가, 우리를 두고 어디로 가버렸어요, 새로운 엄마를 찾아요!65자매",경상북도 예천군,0,0.6,2.0,1,1,Y
코카스파니엘,코카스파니엘,Ivory,2018.01,4.6,6.0,http://www.animal.go.kr/files/shelter/2022/08/202208171908939.jpg,Y,F,N,"치석이약간있음, 그외에는 한것으로 사료됨",인천광역시 중구,1,4.6,6.0,1,1,Y
믹스,믹스,"Beige, Black",2019.01,2.5,5.0,http://www.animal.go.kr/files/shelter/2021/06/202106180906353.jpg,Y,M,N,,대전광역시 유성구,0,2.5,5.0,0,1,Y
믹스,믹스,Brown,2017.01,5.7,13.0,http://www.animal.go.kr/files/shelter/2022/09/202210041310765.jpg,Y,M,N,"빛바랜목줄 착용, 예민함, 갈색",부산광역시 해운대구,0,5.7,13.0,0,1,Y
믹스,믹스,"Black, Brown",2023.01,0.4,3.0,http://www.animal.go.kr/files/shelter/2023/05/202305171705955.jpg,Y,F,N,"온순함, 종합백신 접종 완료, 회충약 복용",전라남도 여수시,0,0.4,3.0,1,1,Y
시츄,시츄,"Brown, White",2009.01,13.4,7.5,http://www.animal.go.kr/files/shelter/2022/04/202206031206818.jpg,Y,M,Y,백내장,경기도 안산시,1,13.4,7.5,0,0,Y
스피츠,스피츠,White,2023.01,0.4,6.0,http://www.animal.go.kr/files/shelter/2023/05/202305272005801.jpg,Y,M,N,사람에게 잘 따르고 순하고이쁘게생겼음,전라북도 익산시,1,0.4,6.0,0,1,Y
시츄,시츄,"Black, Brown, White",2020.01,1.4,5.0,http://www.animal.go.kr/files/shelter/2021/05/202106071306623.jpg,Y,M,N,슬개골 탈구,충청남도 당진시,1,1.4,5.0,0,1,Y
믹스,믹스,"Black, Brown",2013.01,10.7,3.4,http://www.animal.go.kr/files/shelter/2023/07/202309251509550.jpg,Y,M,Y,"귀접힘, 코검정, 온순, 앞노랑, 뒤하늘 목줄검, 흰리드줄, 꼬리단미안됨, 털상태",경기도 양주시,0,10.7,3.4,0,0,Y
프렌치불독,프렌치불독,"Brown, White",2019.01,2.5,20.0,http://www.animal.go.kr/files/shelter/2021/06/202106221106570.jpg,Y,M,N,"내장칩있으나 소유주 전원꺼짐, 순함",경기도 부천시,1,2.5,20.0,0,1,Y
믹스,믹스,Brown,2022.01,0.9,2.8,http://www.animal.go.kr/files/shelter/2022/11/202212011512316.jpg,Y,M,N,사람을 무서워하지 않고 내려놓으면 뿔뿔이 흩어지는 천방지축 3남매 귀여움주의,경상북도 경주시,0,0.9,2.8,0,1,Y
믹스,믹스,Gray,2022.01,0.2,1.4,http://www.animal.go.kr/files/shelter/2022/03/202203181503968.jpg,Y,F,N,상면 성운사절 입구 부근 발견,경기도 가평군,0,0.2,1.4,1,1,Y
슈나우져,슈나우져,"Gray, White",2021.01,2.1,8.5,http://www.animal.go.kr/files/shelter/2023/01/202303031503975.jpg,Y,M,Y,,경기도 고양시,1,2.1,8.5,0,0,Y
믹스,믹스,Brown,2023.01,0.2,5.0,http://www.animal.go.kr/files/shelter/2023/01/202302271502158.jpg,Y,M,N,이갈이중인어린강아지,서울특별시 양천구,0,0.2,5.0,0,1,Y
비숑프리제,비숑프리제,White,2017.01,3.9,8.5,http://www.animal.go.kr/files/shelter/2020/11/202012111112584.jpg,Y,M,N,,경기도 고양시,1,3.9,8.5,0,1,Y
