견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,GPT_특성
믹스,믹스,Unknown,2004.06,15.2,3.46,https://youtu.be/43-8gspm-2w,N,W,U,"2019년 8월에 긴급구조가 되어온 조그만 장애견이 있어요. 처음 온 날부터 겁을 먹고 모두를 경계하며 어떤 접촉과 사랑도 거부하던 아이였죠.커다란 두 눈은 모두를 원망하듯 바라보았고, 아무리 맛있는 것을 가져다 주어도 입도 대지 않고 낮은 으르렁 소리로 모두를 대했어요.나이가 들어 푸석해진 털과 관리가 되지 않은 발톱은 길게 구부러져 있었고,하반신에 장애가 있어 두 개의 앞발로만 움직이던 아델.얼마나 안고 살아왔는지를 모르는 아델이의 하반신 장애는 그렇게 아델의 마음을 굳게 닫아버리고, 고통을 안겨주었습니다. 그러한 아델이에게 허락을 받고 믿음을 주기위해 매일매일 하루도 빠지지 않고 선생님들이 아델이에게 찾아가 웃어주고 바라봐주고, 맛있는 간식도 챙겨주면서 긴 시간이 흘러갔습니다.어느 순간부터인가 아델도 싫지만은 않았던지 선생님들을 기다리기 시작했어요. 그리고 어느날 아침. 늘 자신을 바라봐주던 선생님에게 믿음을 주기 시작한 아델. 조금씩 선생님의 냄새를 맡던 아델이는 천천히 다가와 마치 아이가 엄마에게 안기듯이 선생님의 품에 안겨서 너무나도 편하게 몸을 맡겨줬어요. 모두가 놀라워했고 감동적이였던 그 날의 기억.. 그 놀라움 속에서 아델이 또한 하반신의 고통을 참아내며 아주 천천히 마음을 열기 시작했어요. 그렇게 한 사람.. 한 사람.. 마음을 열어가고 어느 순간부터 그 닫힌 마음을 활짝 열어 자신이 허락한 사람들에게는 아주 사랑스러운 아가가 되었습니다.하지만 아델이의 하반신 장애는 시간이 지나도 회복되지 않고 아델이의 생활에 고통과 불편함을 주었습니다.전기치료, 보조기 사용, 마사지.. 여러가지 치료요법과 치료약으로 아델이의 하반신을 정상으로 돌려놓고자 하는 많은 노력이 있었지만 눈에 띄는 회복은 보이지 않았습니다.그러한 과정 속에서 많은 고통과 불편이 있었지만 아델이는 자신이 마음을 열고, 믿음을 준 사람들에게는 공격적이거나 마음을 닫아버리는 행동을 하지않고 묵묵히 견뎌주었습니다.그렇게 센터에 들어온 지 어느덧 1년이 넘어버린 지금..아델이는 불편한 몸이지만, 기저귀를 차고 즐겁게 산책도 하고 밥도 잘 먹고처음 들어왔을 때의 아델이보다 더 마음을 열고 행복해진 모습을 보이고 있습니다.목욕도 얌전히 잘하고 자기가 스스로 허락한 사람과 개들에게는 다정다감한 모습도 보이며 달라지고 있는 아델.아델은 나이가 있어 털도 푸석하고 두터운 이중모라 털이 많이 빠지기도 합니다.쉽게 마음을 열지 않고 낯선 사람에게 경계심이 있어 아델이를 돌보기 위해서는 최대한 많은 만남을 가져야 하고, 스스로 마음을 열 때까지 인내하고 이해해 주어야 하는 상처가 많은 아이입니다.분명 하반신의 장애가 다른 개들처럼 평범하게 살 수 있는 아델이의 삶을 바꿔놓았습니다. 그래서 마음을 열고 믿음을 주는 게 어려운 아델이입니다.그렇지만 적어도 마음을 열고 우리들을 바라봐주는 아델이는 세상 그 어떤 아이보다 사랑스럽고 믿음직스러운 소중한 존재입니다.이 아이의 초롱초롱하고 진실된 두 눈을 보고 있자면 정말 아델이라는 한마리의 장애견은 사랑받고 싶어하고 행복해하고 싶어 하는 평범한 아이라는 것을 느낍니다.조금은 특별하고 다른 개들과는 다르지만 스스로 마음을 열 줄 아는 아델이는 오늘도 이 세상에서 가장 행복한 아이가 되기 위해 새로운 가족을 기다립니다.",서울특별시 마포구,"냄새, 존재, 장애, 통증호소, 털상태미상, 신중, 인내심, 마음, 불편, 산책필요, 상처, 기저귀, 행복, 발톱관리필요, 경계, 관심필요"
믹스,믹스,Unknown,2020.12,2.3,6.61,https://youtu.be/nOLuClRHo3Q,N,W,U,"동물등록된 연락처로 연락하니 키울 수 없어 한 파양을 받아주는 곳으로 돈을 주고 들여 보냈고그 곳에서 다른 사람에게 입양을 보냈다고 합니다.그래서 그 파양을 받은 곳에서 새로운 입양자에게 연락하니키울 수 없어 유기했다고 하고요.결국 랄프는 어느 곳에서도 책임지지 않고 서로 데려가길 미루는 사이시보호소에서 한달 보름을 지냈습니다.한달 보름동안 입양신청서도 없이 안락사를 기다릴 수 밖에 없었죠.시보호소 입소때부터 빼빼하게 말랐던 몸은 더욱 마르고사람을 좋아해 안기려고 하던 마음은굳게 닫혀 우리에서 꺼낼 때 예민하게 반응했습니다.너무 마르다 못해 걸음 걸이가 쓰러질 듯 비틀거리던 랄프.아직 어린 2살(센터에서 1살 더 먹었어요),여러 가족의 집을 이동하면서 오랫동안 시보호소 철장안에서 얼마나 마음을 다쳤는지시보호소 직원의 말에 의하면 처음과 다르게 아이가 예민하다고,원래는 사람을 너무 너무 좋아하던 아이라고 하셨어요.그렇게 랄프는 센터로 입소하게 되었습니다.그리고 단이(귀 절제후 귀를 세우는 미용 수술) 수술과곳곳에 피부병, 영양 결핍, 그리고 심장사상충에 감염되어 있었구요.기본적인 관리조차 하지 않고 미용목적으로 단이 수술을 한 채결국버림을 당한 랄프는 다른 강아지들을 보면 예민하게 반응했습니다.하지만 지금은 어느정도 적응해서 조금더 꾸준하게 사회성 훈련을 하면 좋아질 것 같아요.아무래도 어린 시기에 다른 강아지들과의 만남 등이 원활하지 않았던 듯 합니다. 지금은 그렇지 않고 잘 지냅니다~^^다만 공을 매우 좋아해서 다른 강아지들과 경재하기도 해요, 공은 항상 입에 물고 있어요 ㅎㅎ심장사상충 치료 완료(23.10.20)하였으며 장기체류 임시보호 가능합니다.단모종으로 털빠짐이 있으며 외동으로 안정적으로 치료를 받을 수 있는 가정을 찾습니다.입양전제 임시보호 우선으로 합니다.(임시보호 절차는 입양절차와 동일하게 입양전 교육을 모두 이수하신 후 가능합니다.)랄프는 현재 사람을 너무 너무 좋아해서 껌딱지처럼 달라붙는 강아지로 작은 아기처럼 폭 안기길 좋아해요,많이 맞았는지 손이 올라가거나 큰소리가 나면 바로 도망가거나 깽 소리로 비명을 지르기도 합니다.패드 배변 훈련중이며 체중 증량중입니다.(현재도 많이 말랐습니다.)초등학교 이상의 자녀 또는 처음 반려견을 맞이하는 가정 등 적합합니다.(반려견 경험 가족 우대)활기 넘치고 에너지가 많은 친구예요.슬개골 탈구가 심한편이라 치료와 관리가 필요합니다.뽀뽀도 좋아하고 어떻게든 사람이 좋다고 몸부림 치는 빼빼마른 점박이 강아지랄프의 평생가족을 기다립니다.",서울특별시 마포구,"활발, 친화적, 탈구, 마르다, 공을좋아함, 뽀뽀좋아함"
믹스,믹스,White,2012.09,11.1,1.79,https://youtu.be/gcs_s0FUr6k,N,W,U,"사람을 너무 너무 좋아하고 당당하며 귀여움 가득한 쪼꼬만 강아지 쵸야예요!말티즈는 참지않긔!!라는 얘기가 있듯이, 아픈 병원 처치나 강제적 제압을 하려고 하면 앙!하고 무는 시늉을 합니다.그런데~~~이가 작은 쌀알같아서 아프지도, 위해가 되지도 않아요! :)쵸야는 보호자의 사망으로 인해 보호소로 이동하게 되었고 또다른 가족을 찾고 있었으나,가족을 찾지 못했고 센터에서 가족을 찾기위해 입소하게 되었어요.사망한 전 가족분은 쵸야를 지극정성 사랑으로 길러주셨는지 치아나, 귀 모두 크게 문제 없습니다.다만, 식이가 원활하지 않았는지 앙상하게 뼈가 다 드러난 영양결핍과 두눈 누런 고름으로 붙어있었어요.현재 편식이 있고 입이 짧지만, 조금씩 살이 찌고 있으며 안약치료로 많이 호전된 상태입니다.(당분간 안약을 넣어주시면 좋습니다.)센터 입소후 식이가 원활하지 않은 것이 맛있고 자극적인 음식을 자주 먹은 듯 보여요.(센터에서는 특이사항이 없다면 일반 사료 급여가 원칙입니다.^^)분리불안이 상당히 심한 편이라서 집에 가족 구성원이 있는 가족이 좋을 것 같아요.혼자 있는다면 짖음이 있습니다.ㅠ,ㅠ워낙 작아서 센터에서도 별도의 공간에서 관리하고 있으며 다른 강아지들과 크게 문제는 없습니다.관심이 없어요!!다견가정의 경우 초야가 초소형견임을 감안하여 사회성 좋은 소형견 가정이 적합합니다.털빠짐이 적고 패드배변도 잘하고 애교가 많아서 입양 후 바로 집안에 적응할 수 있을거예요.산책도 잘한답니다^^처음 반려견을 맞이하는 가족 등 어느가족에게도 멋진 반려견이 될꺼예요!아직도 매우 마른 편이며 입양후 당분간 살을 찌우기 위해 노력(?)하셔야 할 거예요.입양 센터 로비를 종횡무진하며 깨방정부리는 활발한 에너자이저 작은 친구 쵸야!나이는 그저 숫자일 뿐!초야를 보면 활발한 에너지는 어디서 오는지 궁금할 뿐이예요~^^오랜 가족이 떠난 후 아직 센터가 어색하고 혼자있음이 힘든작은 흰둥이 쵸야의 마지막 가족을 찾습니다.",서울특별시 마포구,"애교, 배변훈련O, 활발, 건강, 혼자있음어려움, 여윔, 친화적, 산책필요, 털빠짐X, 식욕부진, 적응력, 소형견, 분리불안O"
믹스,믹스,Black,2020.09,3.1,3.72,https://youtu.be/YxpqJ3UkeGc,N,W,U,"애교 많고 활발한 기질이 살짝 엿보이지만,살아온 환경이 너무도 힘들고 안좋아서 소심한 성격인발바리 강아지 천금이예요.천금이는 츄잉이와 함께 같은 집에서 유기되었고 입양가족을 찾지 못해 센터로 입소했습니다.작고 갈비뼈가 다 드러난 몸에는 안타깝게도 심장사상충에 감염되었습니다.모기가 전파하는 심장사상충은 실내견도 빈번히 감염되기때문에 실외견은 매우 높은 빈도로 감염됩니다.영양상태도 좋지 않고 힘든 심장사상충 치료를 해야 하는 우리 천금.낯선 환경에 대해 긴장과 사람과의 생활이 어색해 센터 입소후 상당기간 식이가 불량했습니다.(잘 먹지 않고 소대변도 잘 하지 않았어요)한달여가 되어가는 지금 천천히 병원생활에 익숙해져가는지 예전보다는 잘 먹지만,아직도 식이량이 좋지 않습니다.공격성도 없고 사람을 좋아하는 친구!하지만, 어떻게 접근해야 할 지 잘 모르는 친구!천천히 하나씩 알려주세요, 방긋하며 웃으며 꼬리펠러로 반겨주는 천금이를 볼 수 있습니다.**심장사상충 임시보호 가능하며 입양전제 임시보호 우선으로 진행됩니다.한달에 한두번 센터 방문하여 의료지원을 받아야하며 방문일 조정은 안되기 때문에 치료를 위해 센터 방문을 할 수 있는 가족이 가능합니다.치료기간에는 산책이 불가하며 흥분을 줄이기 위해 최대한 안정된 생활이 요구됩니다**다견생활을 했고 지금도 츄잉이를 의지합니다.소심하고 차분한 반려견이 있다면 크게 문제없지만, 활발한 반려견이 있는 가정의 경우 임시보호 부적절해요.패드배변 훈련중이며, 심장사상충 치료기간동안 털빠짐이 더욱 심하게 나타나며 미용 하면 안되므로 털빠짐에 예민하지 않는 가족이 적합해요.쫑끗 선 귀에 커다란 두 눈,호기심 많은 킁킁 검은 코!사랑할 수 밖에 없는 예쁜 아이예요.워낙 순해서 처음 반려견을 맞이하거나 영유아 이상의 자녀가 있는 가정 등 어느 가정과도 적합합니다.가정에서 안정적으로 치료받으며 멋진 반려견이 될 수 있도록 도와주세요. ",서울특별시 마포구,"심장사상충O, 애교, 활발, 털빠짐O, 도움요청, 온순, 소심, 친화적, 긴장, 호기심, 가정적합, 츄잉이의존, 배변훈련중"
믹스,믹스,Unknown,2020.03,3.3,3.35,https://youtu.be/h8ipdMKnjq4,N,M,U,"유기와 파양이 반복된 상처를 지닌 순금입니다.유기되어 시보호소에 입소되었고작은 체구에 인기 견종 비숑프리제로 치료를 해준다며 입양이 됐지만,많은 치료비가 문제였을까요?입양간 지 2일만에 보호소 모습 그대로 파양되어 안락사가 될 위기가 되었습니다.센터에 입소후 혈액 검사부터 여러 검사를 했습니다.기본적으로 심한 영양 결핍(매우 마름), 피부병, 안구궤양, 탈장, 중이염, 호흡기 질환 등 으로귀에서 농이 흘러나오고 있는 상황이었어요.신장 역시 좋지 않아 초기 신장질환 진단을 받았습니다.심장 역시 병적 진단은 아니지만, 살짝 걱정되는 수준이예요.(추적 관찰 중입니다.)현재 약욕, 안약, 신장 보조제 등으로 치료중이며 예전에 심했던 모습과는 반대로예쁘고 건강한 외모를 되찾고 있어요.(입양후 꾸준한 관리및 치료가 요구될 수 있습니다.)사람을 좋아하고 깨방정 성격인 비숑 견종 특성을 보이고 있어요.요즘 유행으로 말하는 미니 비숑입니다.(비숑프리제+토이푸들 교배종)어린 나이에 비해 많이 아픈 순금이예요.입양후 기본적인 관리비용으로 많은 지출이 요구될 수도 있습니다.예쁜 외모보다는 입양후 고정 지출로 발생되는 사항등에 대해서 충분히 고민해 보시길 바랍니다.패드 배변 훈련중이며 기본 훈련도 함께 하고 있습니다.다른 강아지들 신경쓰지 않고 대면 대면 지내요~(사회성 좋은 반려견이 있거나 외동으로 입양 가면 좋을 듯 합니다.)털빠짐이 적지만, 기본적으로 미용및 빗질이 필요한 아이예요.센터에서 1kg 증량되었지만 아직도 작은 체구의 아이랍니다^^순하고 애교도 많은 무릎 강아지!간식도 좋아하고~ 착해서 처음 반려견을 맞이하는 가정이나 어린 자녀를 지닌 가정등 어느 가정과도 적합합니다.여러번 버림 받은 마음의 상처와 함께 몸의 상처까지 치유해주실평생가족을 기다립니다.",서울특별시 마포구,"애교, 털빠짐O, 식탐, 신장질환, 영양관리필요, 친화적, 상처, 심장질환, 훈련, 호흡문제, 미용, 이염, 안구궤양, 피부질환, 체구, 탈장"
믹스,믹스,Unknown,2021.09,2.0,4.47,https://youtu.be/N_avddZtLic,N,W,U,"어릴적 3개월령에 지방의 한 유기동물 보호소로 어미개와 함께 입소후 작고 귀여워서인지 입양을 바로 갔지만, 파양을 거듭 당하고 새끼를 낳은 듯 보이는 배상태(개복을 하여 유착이 심함)로 결국 유기되었습니다.(동물등록정보를 통해 확인하였습니다.)사람을 좋아해서 꼬리를 흔들지만, 무서움으로, 긴장으로 꼼짝도 안하는 잼이예요.센터에 입소한 지 1달이 지났지만, 아직도 구석에서 움직이지도 않고 가만히 있습니다.아마도 1살이라는 어린 나이에 여러번 파양과 출산으로 인해 마음의 상처가 큰 듯 보입니다.다른 강아지들을 그다지 좋아하지 않아요, 피해서 숨어있고 다가오면 오지말라 멍! 합니다.(외동으로 입양가야 됩니다.)패드배변 훈련중이며 단모라서 어느정도 털빠짐이 있습니다.다른 지시어는 몰라도 이리와 라는 말에 꼬리를 흔들며 다가옵니다.사람의 품 속이 너무도 그리운 아이.어린 강아지일때 여러 환경에서 다양한 경험을 통해 무난한 성격의 강아지가 됩니다.아마도 우리 잼이는 다른 강아지들과의 만남도, 여러 사람과의 만남도, 그리고 충분한 사랑도 못받은 듯 보여요.작고 귀여운 외모의 잼이.마음의 상처로 온 몸을 떨고 있는 작은 강아지 입니다.입질이라던지 공격성은 없지만, 큰소리가 나거나 낯선 환경에서는 얼음이 돼요.고학년의 초등학생이상의 자녀가 있는 가정 또는 성인으로 구성된 가정이 좋을 듯 합니다.외부의 소음이 큰 방음이 잘 안되는 환경인 경우 입양에 적절하지 않습니다.물론 워낙 순하고 착한 강아지라서 처음 반려견을 맞이하는 가정도 좋아요.다만, 아직도 마음을 완전히 열어준 친구가 아니라서 입양후 마음을 완전히 열 때까지 시간을 충분히 주셔야 됩니다. 사랑스러운 작은 검둥이 강아지 잼이의 평생가족을 기다립니다.",서울특별시 마포구,"신중, 관심필요, 온순, 친화적, 외부소음에민감함, 다른강아지들을좋아하지않음, 귀여움, 배변훈련중"
믹스,믹스,Unknown,2020.04,3.2,5.77,https://youtu.be/tyEBFBaBgGY,N,W,U,"사람을 좋아하는 순둥순둥 매끈 매끈 강아지 석순이예요!구조당시 동물등록이 된 동종견과 함께 유기동물 보호소에 입소한 상태에 결막염, 심한 피부병을 앓고 있었어요.같이 입소한 닥스친구는 입양을 갔고센터에 입소한 석순이는 기본 접종및 중성화수술, 피부병 치료 하고 있습니다.(결막염치료는 완료되었습니다~피부병치료는 약욕치료중!)다른 강아지들과 스스럼 없이 잘 지내고 기본 훈련및 패드배변도 잘하는 석순이!애교는 또 얼마나 많은지 보고 있으면 미소가 빙그레~~허리가 긴 닥스훈트 견종은 체중관리가 중요한데 다소 비만이었던 석순이는센터입소후 열심히식이조절하여 지금은 정상 체중입니다.다만 장이 좋은 편이 아니라서 장처방식 사료를 급여하고 있어요.눈가 끝에 지방종이 있어 수술치료 했습니다.워낙 순하고 얌전한 친구라서 어린 자녀가 있는 가정 또는 처음 반려견을 맞이하는 가정사회성 좋은 반려견이 있는 가정 등 어느가정과도 적합합니다.공을 유별나게 좋아하는 닥스들에 비해 장난감을 크게 좋아하지는 않아요.하지만, 입양후 열심히 공과 장난감 등으로 실내활동을 늘려주시면 좋아하게 될 것 같습니다~단모종으로 털빠짐이 많습니다.털에 예민한 가족일경우 입양에 신중해주세요.보들 보들한 방석이나 따듯한 이불, 사람 체온 등을 좋아합니다.순둥순둥~ 너무 착하고 예쁜 석순이~다른 강아지들이 있어도 사람이 없으면 구슬프게 울어요.분리불안 증상이 있습니다.1인가족 보다는 다인가족으로 집에 사람이 상주하는 가족이 적합합니다.(1인가족의 경우 혼자남겨졌을 때 문제사항을 충분히 해결할 수 있는 상태라면 입양 가능합니다.)큰 눈동자에 한가득 우리 가족만을 비춰줄 우직한 반려견 친구가 되어줄거예요.사랑스러운 석순이의 평생가족을 기다립니다.",서울특별시 마포구,"털빠짐O, 보호병, 장난기, 온순, 친화적, 사랑스러움, 분리불안O, 보들보들"
믹스,믹스,Unknown,2011.01,11.4,3.75,https://youtu.be/DaBFSsg-ZZY,N,W,U,"구조당시 뒷다리에 고름이 차있어 응급으로 배농치료와 함께 호흡기 치료를 했어요.심하게 오염되고 엉킨 털을 제거하고 나니 조그맣고 마른 몸을 지닌 노견.피부도 좋지 않고 귓병도 있어 당분간 치료해야 되며 당뇨병이 심해 인슐린 주사를 맞고 있어요.(당뇨병으로 인해 인슐린 주사는 평생 맞아야 됩니다.)젊었을 적 예쁘다는 소리를 많이 들은 듯,버터는 예쁘다라는 소리와 함께 안아주면 뽀뽀도 해주고 응석도 부립니다.하지만, 싫어하는 행동(병원적 처치 등)을 하거나 뭐에 토라지면 입질을 하는 등약간 깐깐한 성격도 살짝 보이기도 합니다.대개 나이가 들면서 살짝 꼬장기(?)가 늘어나긴 하는데우리 버터는 예전부터 싫은 것을 할 땐 입질을 했던 듯 보입니다.살짝 달래면서 하면 심하진 않아요...당뇨와 노환으로 인해 몸상태가 많이 안좋았던 버터는 3개월 정도 살 찌우며 어느 정도 몸을 만든 후중성화 수술을 했습니다.나이들고 아파서 유기된 버터,하지만, 젊을 적 사랑받았던 기억으로 아직도 예쁘단 소리에 즐거워하는 작은 친구예요.패드 배변을 하지만 실수가 있어요.다른 강아지들과 잘 어울리지 않고 혼자 있는 것을 좋아합니다.먹는 것을 매우 좋아하지만, 당뇨가 있어 식이관리가 필요하며 처방식 사료를 급여하고 있어요.분리불안이 있고 하루 두번 인슐린 주사를 맞아야 되기 때문에집에 항시 사람이 있는다인 가족이 적합합니다.**호스피스 임시보호 개체 치료는 센터에서 지원합니다.하루 한 번 센터에 방문하여 인슐린 주사를 맞아야 됩니다.센터에서 1살을 더 먹었어요, 길지 않을 버터의 남은 견생센터의 작은 사자, 버터에게 가정의 온기를 나눠주실 가족을 기다립니다.",서울특별시 마포구,"당뇨병, 호스피스, 인슐린주사, 식탐, 혼자, 영양관리필요, 가정환경, 분리불안O, 입질O, 노견, 예쁨"
믹스,믹스,Unknown,2020.1,2.5,5.65,https://youtu.be/1vg9pUHaSh4,N,W,U,"순하고 맑은 눈동자를 지닌 귀여운 바둑이 루피예요~우리 루피는 사람과 물건을 엄청 무서워해요.아마도 물건으로 엄청 맞은 듯 추정됩니다.구조당시 뼈가 모두 튀어나와 있어 제대로 걷지도 못 할 정도로 영양결핍 상태였습니다.순하고 순한 우리 루피,처음에 밥도 잘 안먹고 구석으로 숨거나 도망가기 일쑤였지만,지금은 어느정도 밥도 잘 먹고익숙한 센터의 직원들에게는 다가와 인사도 하고 도망가요 ㅎㅎㅎㅎ간식도 어색어색~아직도 뼈가 도드러질정도로 말랐습니다.밥을 아구 아구 잘 먹는 편이 아니어서 잘 안찌는 듯 해요.안정된 가정에서 사랑받으며 오동통 살도 쪄서 꼬리 뱅뱅하는 모습을 기대해도 될까요?워낙 순하고 착한 친구여서 처음 반려견을 맞이하는 가정또는 어린 자녀(영아 이상)의 가정 등어느 가정에도 적합해요,다른 강아지 친구들이 있다면 조금 더 용기를 내어 행동하는 편이라 반려견이 있는 가정도 좋습니다.(이때 다른 강아지에게 공격적이지 않은 사회성 좋은 강아지가 적합합니다.)단모종으로 어느정도 털빠짐이 있으며 현재 영양상태가 좋지않아 더 많이 빠지는 듯 해요.마음을 완전히 열어 사람에게 다가오는 친구가 아니기 때문에 바로 산책은 안됩니다.가정에 이동후에도 다가와 안기고 가족에게 신뢰가 쌓이기 전까지는 산책은 꼭 ! 꼭 ! 하지 마세요.스킨십도 우리 루피가 다가와 간식을 받아 먹을 때 해주시면 좋을 것 같아요.센터에서 마음과 몸의 상처를 치유하고 패드 배변 훈련과 반려견으로써 지녀야 할 매너를 배우고 있습니다.하지만, 앞으로 더 많은 사회화 훈련이 요구될 수도 있어요.사랑스런 바둑이 루피의 인내심과 사랑이 많은 평생가족님을 기다립니다.",서울특별시 마포구,"매너를배우는, 신중, 털빠짐O, 식탐, 관심필요, 온순, 친화적X, 영양관리필요, 상처, 스킨십, 귀여움, 배변훈련중, 비만"
믹스,믹스,Unknown,2020.05,3.3,4.57,https://youtu.be/MlRBgMDh6Oc,N,W,U,"사람을 매우 좋아하는 깨방정 강아지 정금이예요!정금이는 작년 8월에 유기되어 9월초에 입양갔으나올해 9월 중반 1년만에 파양당하여 다시 시보호소로 왔습니다.며칠 전까지만해도 평생을 지켜줄 가족이라고 믿던 사람들과 함께 집에서 지내다갑자기 낯선 보호소로 이동되어 혼란하고 불안해서 그런지 잔뜩 웅크려있고 산책도 못하고하네스도 어색하게 받아드렸어요.센터에 입소후 관찰한 정금이는 사람을 매우 좋아하고 깨방정 활달한 친구입니다.장난감도 좋아하고 호기심도 많아 이곳 저곳 탐색하길 즐겨해요.또한 다른 강아지들과 크게 문제없이 잘 지내고 아직 산책은 어색하게 잘 못합니다.산책 경험이 부족한 듯 보여요.입양후 지속적으로 외부환경에 둔감화 훈련과 함께 산책훈련을 시행해 주셨으면 좋겠습니다.순하고 착하고 어린 나이답게 매우 활발하고 명랑합니다 :)방긋 방긋 웃어주며 반겨줍니다.^^ 질투가 있어 외동으로 입양가면 좋을 듯 해요.털빠짐은 다소 많은 편이예요.패드배변 훈련 진행중입니다. 기본 지시어 훈련은 되어 있는 듯 보여요, 곧 잘 합니다.살짝 엄살이 있지만 입질 등 공격성 성향은 없습니다.처음 반려견을 맞이하는 가족 또는 영유아 이상의 자녀를 가진 가정 등어느가정과도 적합합니다.사람을 무척 좋아하고 이미 유기와 파양을 경험하였기 때문에 입양후 분리불안이 있을 수 있습니다.명석하고 에너제틱한 아이라서 집안에 활기를 불어넣어줄거예요.실외 산책 등 많은 경험을 해주시면 좋겠습니다.앞으로 어떤 상황에서도 포기하지 않고 책임있게 관리하고 곁을 지켜주실 가족을 기다립니다.",서울특별시 마포구,"털빠짐O, 활발, 똑똑, 친화적, 산책필요, 호기심, 겁O, 분리불안O"
