이름,견종,나이,들어온 날짜,체중,소개동영상,입양상태,성별,특징
정금(마포센터-임시보호가능),믹스,4(세) 4(개월),2023-09-14,4.86,https://youtu.be/MlRBgMDh6Oc,N,https://youtu.be/MlRBgMDh6Oc,"사람을 매우 좋아하는 깨방정 강아지 정금이예요!정금이는 작년 8월에 유기되어 시보호소에서 9월초에 입양갔으나올해 9월 중반 1년만에 파양당하여 다시 시보호소로 왔습니다.며칠 전까지만해도 평생을 지켜줄 가족이라고 믿던 사람들과 함께 집에서 지내다갑자기 낯선 보호소로 이동되어 혼란하고 불안해서 그런지 잔뜩 웅크려있고 산책도 못하고하네스도 어색하게 받아드렸어요.센터에 입소후 관찰한 정금이는 사람을 매우 좋아하고 깨방정 활달한 친구입니다.장난감도 좋아하고 호기심도 많아 이곳 저곳 탐색하길 즐겨해요. 산책 경험이 부족한 듯 보이는데 지나가는 개들에게 덤벼듭니다.입양후 지속적으로 외부환경에 둔감화 훈련과 함께 산책훈련을 시행해 주셨으면 좋겠습니다.순하고 착하고 어린 나이답게 매우 활발하고 명랑합니다 :)방긋 방긋 웃어주며 반겨줍니다.^^ 질투가 있고 강아지들과의 사회성이 부족해 외동으로 입양가면 좋겠습니다.털빠짐은 다소 많은 편이예요.패드배변 훈련 진행중입니다. 기본 지시어 훈련은 되어 있는 듯 보여요, 곧 잘 합니다.살짝 엄살이 있지만 입질 등 공격성 성향은 없습니다.처음 반려견을 맞이하는 가족 또는 영유아 이상의 자녀를 가진 가정 등어느가정과도 적합합니다.사람을 무척 좋아하고 이미 유기와 파양을 경험하였기 때문에 입양후 분리불안이 있을 수 있습니다.명석하고 에너제틱한 아이라서 집안에 활기를 불어넣어줄거예요.실외 산책 등 많은 경험을 해주시면 좋겠습니다.앞으로 어떤 상황에서도 포기하지 않고 책임있게 관리하고 곁을 지켜주실 가족을 기다립니다.아이들과 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.정금이의 다양한 사진과 영상, 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.카페클릭! -&gt;서울동물복지지원센터 : 네이버 카페 (naver.com)"
지구(마포센터),믹스,2(세) 5(개월),2024-09-06,4.58,https://youtu.be/uIx0talYg1M,N,https://youtu.be/uIx0talYg1M,"겁 많지만, 호기심도 많은 사람을 좋아하는 찡찡보 지구예요!(짖기보다는 요구성 낑낑~)얼마전 입양간 앙꼬와 같은집으로 (강북 애니멀호딩견) 중 하나인 지구는 앙꼬처럼 말이 많아요 ㅎㅎㅎ입소당시 낯선 환경에 매우 겁에 질려서 짖음은 커녕 낑소리조차 내지 않았지만, 3주정도 된 지금 사람이 좋아서 낑낑댈 정도로 적응 됐어요.공격성도 없고 새하얀 도화지처럼 아무것도 모르는 하룻강아지 지구!덩치만 큰 새끼 강아지처럼 훈련과 관리를 해주시면 좋겠습니다.다른 강아지 친구들과도 잘 지내고 밥도 잘먹어요!아직 기본적인 목욕이나 패드배변 등 어색어색~열심히 배우고 있습니다~:)입양후 여러 외부활동을 통해 자극에 대한 둔감화및 사회화를 시켜주시면 좋아요.지구는 수십마리의 강아지들이 오물과 함께 섞여있는 열악한 환경에서 지냈습니다.우리가 생각하는 기본적인 관리는 커녕 밥도 마음껏 먹지 못해 마른 상태구요.(기본적인 생존싸움을 하던 아이라서 식탐이 많은건 이때문일거예요.)워낙 순한 아이라서 처음 반려견을 맞이하는 가정, 영유아 이상의 자녀 가정,사회성이 좋은 반려견이 있는 가정 등 어느가정과도 적합합니다.(단, 고양이 사회성은 좋지 않으므로 반려묘가정과는 부적합합니다.) 슈나우져처럼 잘생긴 우리 지구~이번 프로필 사진을 찍기위해 실외로 나온 것이 첫 나들이입니다.한걸음 한걸음 내딛는 발걸음에는 겁이 뭍어나지만, 우리 가족님과 함께라면위풍당당 지구가 될 수 있어요.다채롭게 지구를 채워주실 평생 가족을 기다립니다.아이들과 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.지구의 다양한 사진과 영상, 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.카페클릭! -&gt;서울동물복지지원센터 : 네이버 카페 (naver.com)"
럭키(구로센터),코리안숏헤어,0(세) 2(개월),2024-10-29,0.65,https://youtu.be/yJX_LL4F57I,N,https://youtu.be/yJX_LL4F57I,"[ 성격 ]호기심 많고 에너지가 넘치며 활달한 성격의 장난기 많은 럭키입니다.​호기심이 많아 여기저기 탐색하기를 좋아하며 사람을 좋아해서 눈만 마주쳐도 골골거리며 반겨주고 애교 있는 모습을 보여줍니다.​비키와 형제로 추정되며 앙증맞은 외모를 지니고 있는 럭키입니다.​어린 고양이답게 장난감에 관심이 많아 혼자서도 잘 가지고 놀며 특히 사람이 가지고 놀아주면 오랫동안 쉬지 않고 뛰어다닐 정도로 매우 활발하고 에너지가 넘칩니다.​​귀와 코가 붉어질 때까지 지치지 않고 뛰어다니는 편입니다.​사료도 아주 잘 먹는 먹성 좋은 고양이입니다.​장난감 욕심이 많아 한번 물면 놓지 않으려는 사냥꾼의 기질도 있습니다.​같은 또래의 아기 고양이 비키와 재밌게 뛰어놀고큰 고양이와도 금방 어울리기도 하며 낯선 상황에 적응력이 좋습니다. ​사진 속 오른쪽 어깨는 큰 상처로 인해 치료 후 털이 덜 자란 부위이며차츰 털이 자라고 있는 상태입니다.​머리 위에 링웜이 있어 현재 연고를 발라주고 있는 상황이며차츰 나아가고 있으나 아직은 꾸준하게 소독, 연고를 발라주면서 관리해줘야 합니다.사람도 링웜에 걸릴 수 있어 주의가 필요합니다.​가장 활발하고 장난기 많은 시기이기 때문에 어린 고양이의 에너지를 감당하실 수 있는 가정,집안 이곳저곳 올라다니고 뛰어다녀도 괜찮은 배려심 많은 가정에 적합합니다.​​(고양이를 키우고 있는 가정은 현재 집에 있는 고양이가다른 고양이와 어울릴 수 있는 성격인지 고려해보시고,합사 방법에 대해 충분히 공부한 후 신청해주시기 바랍니다.)​​​서울고양이입양카페 입양 신청 방법 ▼https://cafe.naver.com/seoulcatcafe/787​​[ 서울고양이입양카페 인스타그램 ]ID : seoulcatcafe주소 : https://www.instagram.com/seoulcatcafe/​​[ 서울고양이입양카페 트위터 ]ID : @seoulcatcafe주소 : https://twitter.com/seoulcatcafe​​​​입양 상담 및 문의 전화 번호 : 02-2636-7650, 02-2636-7649, 02-2636-7645"
나플(마포센터-입양전제임시보호만가능),믹스,2(세) 10(개월),2024-02-01,6,https://youtu.be/A4rYWG9aJk8,P,https://youtu.be/A4rYWG9aJk8,"소심하고 차분하지만 빙그레 웃는 웃상 작은 발바리 나플이예요~남주와 함께 센터로 입소했습니다.(애니멀 호딩 견 출신입니다.)입소당시 사람을 많이 무서워하고 숨어있기 바빴던 작은 강아지는 남주와 마찬가지로 심장사상충에 감염되어 있었고 현재 치료 완료되었습니다. (24.09.11 치료완료) **장기체류 임시보호 가능하며 현재 가정에서 임시보호 중입니다.-&gt; 가정에서 생활은 임시보호 게시판 참고해주세요입양전제 임시보호 가능합니다.다른 강아지들과 문제없이 잘 지내고 남주처럼 조용 조용 가만히 있는 소심이예요.현재 임시보호 가정에 있는 가을이에게 붙어 조용히 잘 지낸다고 해요!분리불안도 없고 있는 듯 없는듯,~털에 예민한 가정의 경우 입양 또는 임시보호에 신중하게 신청해주세요.워낙 순하고 착한 친구라서 영유아제외한 자녀가 있는 가정, 처음 반려견을 맞이하는 가정 등 어느가정과도 적합합니다.반려묘가 있는 가정에는 적합하지 않습니다.겁이 많고 소심한 친구라서 반려견이 있는 가정이 제일 좋으며천천히 마음을 열도록 기다려주시면 돼요.간식을 좋아하며 심장사상충 치료가 끝났으므로 열심히 산책 훈련 시작을 한다고 합니다~순둥순둥~ 미소공주 나플의 평생가족을 기다립니다.  아이들과 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.  나플의 가정에서의 생활등 다양한 사진과 영상, 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.카페클릭! -&gt;서울동물복지지원센터 : 네이버 카페 (naver.com)"
라이(동대문센터-입양상담가능),믹스,2(세) 11(개월),2024-09-07,5.2,https://youtu.be/FaREyzvKZ-Y,N,https://youtu.be/FaREyzvKZ-Y,"[ 입소 히스토리 ]지난 6월에 강북구 애니멀 호더로부터 약 80여 마리의 개들이 구조되었고,그 중 13마리 아이들이 총 4차례에 나누어 동대문 동물복지지원센터에 입소하였습니다.(1차 콩자 / 2차 금동, 밤비 / 3차 쿵야, 베니, 제티, 하티, 베리 / 4차 라이, 봉이, 선달, 빅터, 이온)전주인은 수십 마리의 아이들을 중성화 수술도 하지 않은 채 방치하였고,그 결과 개체수는 80여 마리까지 불어나 걷잡을 수 없게 되었습니다.좁은 공간에서 뒤엉켜 자란 아이들...구조 당시 아이들은 관리를 받지 못해 악취가 심했고, 많은 아이들이 심장사상충 등 질병에 노출되어 있었습니다.사람에 대한 경계도 심해 짖거나 구석에 가서 숨는 등 대부분 무서워하는 모습을 보였습니다.모두 사람의 손길을 타지 않은 친구들이며, 손만 봐도 지레 겁을 먹는 아이들입니다.이런 아수라장 속에서 저희 동대문 센터를 비롯하여 여러 동물보호단체 및 시민분들이 도움의 손길을 뻗었으며개중 몇몇은 새로운 가족을 만난 개체들도 있습니다.그러나 남은 아이들은 구조되었음에도 불구하고 갈 곳이 없어 결국 구조된 장소에 보호처를 마련하였고,여전히 많은 아이들이 그 곳에서 보호받으며 새로운 가족이 오길 기다리고 있습니다.[ 라이는요, ]라이는 봉이, 선달, 빅터, 이온과 함께 9월 초에 입소한 아이입니다.입소동기 중 빅터, 이온이랑 동배로 추정하고 있어요.식욕이 엄청나게 좋아서 사료를 주면 야무지게 잘 먹어요.하지만 같이 입소한 친구들 중에서 겁이 가장 많은 친구라, 사람이 있을 때는 밥을 잘 먹지 않아요.겁이 많은 데다 소심한 면도 있어서, 구석으로 들어가려는 모습을 보여요.아직은 밖으로 나오는 것을 무서워하지만, 호기심이 많아서 혼자 나오면 여기저기 기웃거려요.수십 마리가 엉켜서 살던 환경 때문인지 기본적으로 몸이 항상 낮춰져 있으며 기어다니다시피 걸어요.너무 안타까운 건, 한 번도 개껌을 먹어보지 않아서 먹을 줄을 몰라요...라이는 아직까지 사람에 대한 경계심이 조금 있어요.사람과의 스킨십이 어려운 친구라 천천히 다가가려는 노력이 필요해요.입양 후 새로운 환경에서도 충분히 시간을 갖고 라이가 다가오기를 기다려주어야 합니다.라이는 강아지를 키워본 가정에 적합하며, 외동으로 가는 게 좋아요.인내심이 강하고, 훈련도 꾸준하게 해주실 수 있는 보호자님이라면 라이와 행복한 반려가족이 되리라 생각합니다.사랑스런 라이의 평생가족을 기다립니다.네이버 카페에서 라이의 좀 더 다양한 모습을 만나볼 수 있어요: https://cafe.naver.com/seoulanimalcare/7189"
패리스(구로센터),코리안숏헤어,0(세) 4(개월),2024-10-29,1.8,https://youtu.be/wCrnKp35chE,N,https://youtu.be/wCrnKp35chE,"[ 성격 ]코에 삼각형 모양으로 늘어져 있는 치즈 무늬가 매력적인 패리스는 사람을 보면 야옹야옹 거리며 눈인사를 해주는 다정한 성격입니다. 사람에게 친근한 편으로 만져주 것을 좋아하고손길이 닿으면 몸을 이리저리 비비면서 골골송을 불러줍니다. 차분하고 온순한 성격으로 호기심도 많은 편으로, 장난감으로 놀아주는 것을 좋아하고 특히 움직이는 장난감에는 높은 집중력을 보이며 사냥꾼의 면모를 보여줍니다.장난감을 한번 물면 놓지 않고 지키려고 하는 소유욕도 가지고 있습니다. ​스킨십에는 크게 예민하지 않은 편이라 기본 관리(발톱 관리, 목욕 등) 진행 시에 수월한 편입니다.​입맛도 까다롭지 않고 사료도 아주 잘 먹습니다.​다른 고양이와의 사회성은 무난한 편으로처음 보는 큰 고양이나 또래 고양이와 쉽게 어울리고먼저 놀자고 장난도 치는 적극적인 성격입니다.​ 애교 많고 친근한 성격으로 처음 입양을 고려하고 있는 가정에도 어울리며에너지가 활발하고 장난기 많은 시기이기 때문에어린 고양이의 에너지를 감당할 수 있는 가정,집안 이곳저곳 올라 다니고 뛰어다녀도 괜찮은 배려심 많은 가정에 어울립니다.​​​(고양이를 키우고 있는 가정은 현재 집에 있는 고양이가다른 고양이와 어울릴 수 있는 성격인지 고려해보시고,합사 방법에 대해 충분히 공부한 후 신청해주시기 바랍니다.)​​​서울고양이입양카페 입양 신청 방법 ▼https://cafe.naver.com/seoulcatcafe/787​​[ 서울고양이입양카페 인스타그램 ]ID : seoulcatcafe주소 : https://www.instagram.com/seoulcatcafe/​​[ 서울고양이입양카페 트위터 ]ID : @seoulcatcafe주소 : https://twitter.com/seoulcatcafe​​​​입양 상담 및 문의 전화 번호 : 02-2636-7650, 02-2636-7649, 02-2636-7645"
수여미(마포센터),코리안숏헤어,0(세) 6(개월),2024-07-11,3.07,https://youtu.be/JaaYHeMnyG4,N,https://youtu.be/JaaYHeMnyG4,"진정 사냥꾼의 면모가 돋보이는 어린 고냥이 수여미예요!수여미는 센터 입소 후 얼마되지 않아 칼리시 양성으로(입소당시 잠복기로 추정) 치료를 했고현재 완치되었습니다(24.08.22)입소때부터 매우 활발하고 사람을 좋아한 친구였는데 병원에서 치료하는 1달여기간동안강아지를 봐도 두려움은 커녕 맹수로 제압하려는 모습까지 보이는 용맹함까지 터득했답니다~ :)아구작 아구작 밥도 잘 먹고 화장실 청소하는 직원에게 서슴없이 덤벼 앙앙대며 한시도 가만히 있지 않아요.분명 입양간 후 우다다를 즐기는 아이로 넘치는 에너지를 집사에게 분출할 것 같아요.야옹 야옹~ 말도 많고 반갑다고 이마 박치기하며 마중도 나오는 친구예요!물론 잘생긴 감자와 고구마 캐는 재미는 쏠쏠하구요!(다른 강아지나 고양이는 싫어해요~ 외동으로 입양가야됩니다!)스킨십을 가만히 받아드리기보다는 앙앙 대며 놀자고 입장난을 하기 때문에 입양 후 적절한 장난감으로 놀아주시면 좋을 것 같습니다.(어린 자녀에게 앙앙대다 피부 상처가 날 수도 있습니다.)호기심이 많아서 벽이던 스크레쳐든 가리지 않고 정복하는 스타일이며콧점이 매력적이게 수염처럼 나서 이름도 수여미랍니다~^^아직 어리기 때문에 중성화 수술을 하지 않았으며 중성화 수술 미동의시 입양 불가합니다.*칼리시 감염 치료를 했으므로 외동으로 입양 추천드립니다.고양이는 강아지보다 털빠짐이 더 심한 동물로 털에 민감한 가족의 경우 입양전병원 진료등을 통해 입양준비 부탁드립니다.처음 반려묘를 맞이하는 가정이나 중학생이상의 자녀가정, 성인으로 구성된 가족에 적합합니다.하루 하루 무럭 무럭 건강히 자라고 있는 날쌘돌이 수여미의 평생가족을 기다립니다.아이들과 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.수여미의 다양한 사진과 영상, 자원봉사자님과의 다양한 일상은 네이버 카페를 통해 확인 가능합니다.카페클릭! -&gt;서울동물복지지원센터 : 네이버 카페 (naver.com)"
버터(마포센터-임시보호가능),푸들,12(세) 5(개월),2022-06-10,3.29,https://youtu.be/DaBFSsg-ZZY,N,https://youtu.be/DaBFSsg-ZZY,"구조당시 뒷다리에 고름이 차있어 응급으로 배농치료와 함께 호흡기 치료를 했어요.심하게 오염되고 엉킨 털을 제거하고 나니 조그맣고 마른 몸을 지닌 노견.노화로 인해 피부도 좋지 않고 당뇨병이 심해 인슐린 주사를 맞고 있어요.(당뇨병으로 인해 인슐린 주사는 평생 맞아야 됩니다.)젊었을 적 예쁘다는 소리를 많이 들은 듯,버터는 예쁘다라는 소리와 함께 안아주면 뽀뽀도 해주고 응석도 부립니다.하지만, 싫어하는 행동(병원적 처치 등)을 하거나 뭐에 토라지면 입질을 하는 등약간 깐깐한 성격도 살짝 보이기도 합니다.대개 나이가 들면서 살짝 꼬장기(?)가 늘어나긴 하는데우리 버터는 예전부터 싫은 것을 할 땐 입질을 했던 듯 보입니다.살짝 달래면서 하면 심하진 않아요...당뇨와 노환으로 인해 몸상태가 많이 안좋았던 버터는 3개월 정도 살 찌우며 어느 정도 몸을 만든 후중성화 수술을 했습니다.나이들고 아파서 유기된 버터,하지만, 젊을 적 사랑받았던 기억으로 아직도 예쁘단 소리에 즐거워하는 작은 친구예요.패드 배변을 하지만 실수가 있어요.다른 강아지들과 잘 어울리지 않고 혼자 있는 것을 좋아합니다.푹신한 방석에 누워 종일 잠을 자는 친구예요.(단 먹을 때만 밥달라고 멍멍 한답니다~)먹는 것을 매우 좋아하지만, 당뇨가 있어 식이관리가 필요하며 처방식 사료를 급여하고 있어요.하루 두번 인슐린 주사를 맞아야 되기 때문에집에 항시 사람이 있는다인 가족이거나버터와 같이 있는 시간이 긴 가족이 적합합니다.**호스피스 임시보호 개체 치료는 센터에서 지원합니다.하루 두 번 센터에 방문하여 인슐린 주사를 맞아야 됩니다.센터에서 2살을 더 먹었어요, 길지 않을 버터의 남은 견생센터의 작은 사자, 버터에게 가정의 온기를 나눠주실 가족을 기다립니다.**호스피스 임시보호 문의 02-2124-2839서울동물복지지원센터 공식 카페 https://cafe.naver.com/seoulanimalcare "
츄파(마포센터),믹스,3(세) 7(개월),2024-10-14,4.87,https://youtu.be/1M2d7QAlONs,N,https://youtu.be/1M2d7QAlONs,"매우 매우 겁이 많고 소심하지만 호기심 많은 귀염둥이 츄파예요.츄파는 쵸이와 함께 올해 10월 강북 애니멀호딩견 가족으로부터 구조된 친구예요.츄이보다 더 많이 겁많고 숨어있기 바쁜 친구라서 당장 입양공고를 올리기보단센터에서 사람과의 친화성, 기본관리, 일상생활의 둔감화등이 필요했어요.아직도 얼어서 기본 목욕이나 발톱깎기는 쉬운편이지만 과도한 스트레스에 노출시키지 않기 위해익숙한 직원이 관리하고 있습니다.워낙 지냈던 환경이 열악했기 때문인지 아직도 식분이나 하울링등을 해요.패드배변이나 이동장 훈련도 천천히 시도하고 있습니다.(아직 패드배변은 안되고 있어요)입양후 많은 훈련과 시간이 필요한 친구예요.귀여운 외모지만, 생각보다 훈련 기간이 오래 걸릴 수도 있고 잘 안될 수도 있습니다.또한 삼안검 수술을 했는데 면역이 떨어지면 또다시 생길 수 있어요.털빠짐은 다소 많은 편이지만 비단결처럼 부드러워요.밥은 천천히 근처에 두면 잘 먹어요.낯선 공간에서는 구석에 숨어서 관찰하기 바쁜 친구지만, 조금씩 마음을 열고 있습니다.영유아 이상의 자녀와 활발한 자녀가 있는 가정보다는 차분한 가정이 적합합니다.또한 사회성 좋은 반려견이 있는 가정도 좋습니다.천천히 적응할 시간을 많이 주셔야 돼요, 산책도 바로는 안될 거예요.충분히 시간이 필요한 아이인만큼 조급한 성격의 가족은 적합하지 않습니다.하얀 도화지같은 츄파에게 알록 달록 화려한 세상의 아름다움과 즐거움을알려주실 평생 가족을 기다립니다.아이들과 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.  츄파의 다양한 사진과 영상은 카페를 통해 확인할 수 있습니다. 카페 클릭!--&gt;서울동물복지지원센터 : 네이버 카페서울동물복지지원센터 공식 카페 https://cafe.naver.com/seoulanimalcare"
미소(마포센터-임시보호가능),믹스,3(세) 6(개월),2024-05-22,5,https://youtu.be/pZGEd2ug4Oc,N,https://youtu.be/pZGEd2ug4Oc,"살짝쿵 소심하지만, 해치지 않는 다는 것을 느끼면 살짝쿵 마음을 열어주는착하고 귀여운 짧은 다리 소녀 미소예요~약간 억울(?)+슬픈(?) 표정을 짓는 표정이라 환한 웃음을 지을 수 있게 만들어 주고 싶어 미소란 이름을 지어줬어요.다른 강아지들과 대면 대면 지내고(처음에 낯가림이 있지만 곧 친해집니다.)같이 있기보단혼자있는 것을 좋아하는 독립적인 친구예요.한쪽 귀가 내려간 짝귀를 지닌 얼큰이(얼굴이 큰 아이)인 미소는다리도 매우 한뼘밖에 되지 않을 정도로 짧아 꼬리가 바닥에 닿는 비밀아닌 비밀을 지녔어요 ~ :)보면 볼수록 웃음도 나고 귀여움에 쓰담쓰담을 해주고 싶답니다.하지만, 안타깝게도 현재 심장사상충에 감염되어 있었고 치료 완료되었습니다.(24.12.02)사람과 집안에서 생활해본 경험이 적어보이는 미소는 겁이 많아서 와락 금방 친해지는 아이는 아니예요.천천히 서로에게 적응할 시간이 필요합니다.하지만, 심장사상충 임시보호기간동안(약5개월) 가정임시보호를 통해서 많이 활발해지고 건강해졌어요.밥도 잘먹고 약도 잘먹고~익숙한 공간에서는 꼬리도 하늘을 향해 빙글빙글~임시보호가정에서는 패드배변도 잘했다고 합니다.한쪽 송곳니가 깨져있지만, 식이 등에는 문제없습니다.털이 매우 많이 빠지는 단모종으로 심장사상충 치료기간에는 더 많이 빠질 수 있습니다.털빠짐에 예민한 가족의 경우 신중하게 입양 또는 임시보호 신청 부탁드립니다.소심하고 겁이 많은 친구라서 활발한 자녀가 있는 가정보다는 차분한 자녀 또는 중고등 이상의 자녀가 있는 가정 등이 적합하며 성인가족도 좋습니다.반려견이 있는 가정의 경우 차분하고 사회성이 좋은 반려견 가정이 적합합니다.너무도 친숙한 얼굴을 지닌 작은 친구 미소에게 평생 미소를 짓게 해주세요.*장기체류 임시보호가능하며 입양전제 임시보호 우선으로 진행합니다.물론 입양이 제일 좋습니다!*미소의 가정생활이 궁금하다면 네이버 카페 임시보호 일기 게시판을 참고해주세요~아이들과 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.미소의 다양한 사진과 영상은 카페 클릭-&gt;입양대기동물(마포센터),서울동물복지지원센터 : 네이버 카페 (naver.com)서울동물복지지원센터 공식 카페https://cafe.naver.com/seoulanimalcare"
