Name,Processed_Traits
Unnamed: 0,특징
0,안구 돌출
1,검정색 빨강 영리하게 생긴아이
2,순하고 따름
3,스피츠 믹스 개 작고 순하며 이쁘게 생겼음
4,스피츠 믹스 개 작고 순하며 이쁘게 생겼음
5,작고 순하며 이쁘게 생겼음
6,작고 순하며 이쁘게 생겼음
7,아직 짝 눈치 보고 있지만 금방 좋아질꺼예요 공고 입양 가능 입양 완료
8,얼굴 까만 콩 3 개발 귀여워요 ♡ 공고 입양 가능
9,엄청 귀엽고 깨 발랄함
10,순함 좋아함 눈 오도 아이
11,인근 농장 들어와 구조
12,귀염 상의 꼬리 바짝 섯음 끝 부분 점 있음
13,5 남 1 녀 유일한 공주 세상 순함 얌전 굉장히 따름
14,꽁알꽁알 말 초 큼 많음 한테 앵 기 는걸 봐 선 애교 덩어리 일듯
15,순하고 아주 귀 여 움
16,2 마리 함께 발견 됨
17,없음
18,
19,귀엽고 사랑스럽다 빨리 데려가 주세요
20,없음 겁 많음
21,
22,순함
23,
24,순함 사상충 음성
25,귀 접힘 코 검정 온순함 꼬리 단 미안 됨 털 약간 탐
26,말라 뮤트 혼종 귀 접힘 코 검정 겁 있음 입질안 보임 온순 꼬리 단 미안 됨 털 상태
27,귀 접힘 코 갈색 가슴 발끝 흰 털 온순 눈뜸 이빨 없음 포 유기 꼬리 단 미안 됨 털 상태
28,귀 접힘 코 갈색 눈뜸 이빨 없음 포 유기 온순 꼬리 단 미안 됨 털 상태
29,노란색
30,귀 접힘 눈곱 코 팥죽 색 혀 내밂 치석 여윔 온순 털매 우엉 킴 꼬리 단 미안 됨 양 눈 결막염
31,멋쟁이 안경 쓰고 얼룩 코 이뻐요 공고 입양 가능 입양 완료
32,웃는 모습 이쁜아이 실물 깡패 공고 입양 가능
33,이마 우유 쪼르르 입 주위 까지 퍼진아이 공고 입양 가능 입양 완료
34,인형 같이 생긴 외모 귀여운 쪼꼬미 ♡ 공고 입양 가능 입양 완료
35,복실복실한 털 귀여운 아이
36,5 마리 함께 구조 수유 필요한 예쁜 어린
37,5 마리 함께 구조 수유 필요한 예쁜 어린
38,5 마리 함께 구조 수유 필요한 예쁜 어린
39,5 마리 함께 구조 수유 필요한 예쁜 어린
40,5 마리 함께 구조 수유 필요한 예쁜 어린
41,온순함
42,구조 자 입양 희망 온순함 입소 전 검사 완료 종합 백신 광견병 접종
43,순하고 좋아함
44,사 가면 서 버리고 간듯 함
45,온순
46,어미 503 번 5 임신 채 보호 소 입소 하여 출산
47,어미 503 번 5 임신 채 보호 소 입소 하여 출산 귀 여 움
48,
49,어미 없음 동 일 장소 서 7 두 입소
50,어미 없음 동 일 장소 서 7 두 입소
51,어미 없음 동 일 장소 서 7 두 입소
52,어미 없음 동 일 장소 서 7 두 입소
53,매우 좋아함 꼬리 랑랑
54,경계 함
55,심장 사상충 검사 음성 외부 기생충 있음 귀 여 움 공고 번호 171 번의 자 견
56,위생 미용 있음 순함
57,귀 접힘 코 검정 활발 친 적 꼬리 단 미안 됨 털 상태 배꼽 탈장
58,귀 쫑긋 코 검정 활발 손길 좋아함 꼬리 단 미안 됨 털 상태
59,귀 쫑긋 코 검정 온순 꼬리 단 미안 됨 털 상태
60,귀 접힘 코 검정 온순 꼬리 단 미안 됨 털 상태
61,귀 접힘 코 검정 온순 꼬리 단 미안 됨 털 상태
62,치석 심함 털 빠짐 순함 입질 있을 있음 중성
63,아직 애기 랑 보호 소 생활 힘들어요 보호자 분 빨리 오세요
64,좋아하지만 낯선 에겐 눈치 봄
65,입술 하얀 포인트 가짐 간식 더주고싶게만 듦
66,마을 많이 본 얼굴 가짐 낯가림 없이 다가옴
67,코 점박이 이제 조금씩 걷기 시작 함
68,아이라인 진하게 했음 눈매 쳐 짐 귀엽게 생김
